1.000000 0.998834 0.995343 0.989542 0.981459 0.971130 0.958606 0.943943 0.927210 0.908485 0.887856 0.865418 0.841277 0.815544 0.788340 0.759792 0.730033 0.699201 0.667440 0.634898 0.601728 0.568083 0.534121 0.500000 0.465879 0.431917 0.398272 0.365102 0.332560 0.300799 0.269967 0.240208 0.211660 0.184456 0.158723 0.134582 0.112144 0.091515 0.072790 0.056057 0.041394 0.028870 0.018541 0.010458 0.004657 0.001166 0.000000 0.001166 0.004657 0.010458 0.018541 0.028870 0.041394 0.056057 0.072790 0.091515 0.112144 0.134582 0.158723 0.184456 0.211660 0.240208 0.269967 0.300799 0.332560 0.365102 0.398272 0.431917 0.465879 0.500000 0.534121 0.568083 0.601728 0.634898 0.667440 0.699201 0.730033 0.759792 0.788340 0.815544 0.841277 0.865418 0.887856 0.908485 0.927210 0.943943 0.958606 0.971130 0.981459 0.989542 0.995343 0.998834 1.000000 
1.020282 1.019046 1.015360 1.009274 1.000844 0.990124 0.977164 0.962018 0.944746 0.925414 0.904101 0.880895 0.855895 0.829212 0.800964 0.771280 0.740299 0.708164 0.675027 0.641048 0.606387 0.571212 0.535692 0.500000 0.464308 0.428788 0.393613 0.358952 0.324973 0.291836 0.259701 0.228720 0.199036 0.170788 0.144105 0.119105 0.095899 0.074586 0.055254 0.037982 0.022836 0.009876 -0.000844 -0.009274 -0.015360 -0.019046 -0.020282 -0.019046 -0.015360 -0.009274 -0.000844 0.009876 0.022836 0.037982 0.055254 0.074586 0.095899 0.119105 0.144105 0.170788 0.199036 0.228720 0.259701 0.291836 0.324973 0.358952 0.393613 0.428788 0.464308 0.500000 0.535692 0.571212 0.606387 0.641048 0.675027 0.708164 0.740299 0.771280 0.800964 0.829212 0.855895 0.880895 0.904101 0.925414 0.944746 0.962018 0.977164 0.990124 1.000844 1.009274 1.015360 1.019046 1.020282 
1.067047 1.065731 1.061793 1.055256 1.046160 1.034549 1.020477 1.004005 0.985202 0.964146 0.940923 0.915632 0.888381 0.859289 0.828486 0.796111 0.762313 0.727250 0.691088 0.653999 0.616160 0.577757 0.538973 0.500000 0.461027 0.422243 0.383840 0.346001 0.308912 0.272750 0.237687 0.203889 0.171514 0.140711 0.111619 0.084368 0.059077 0.035854 0.014798 -0.004005 -0.020477 -0.034549 -0.046160 -0.055256 -0.061793 -0.065731 -0.067047 -0.065731 -0.061793 -0.055256 -0.046160 -0.034549 -0.020477 -0.004005 0.014798 0.035854 0.059077 0.084368 0.111619 0.140711 0.171514 0.203889 0.237687 0.272750 0.308912 0.346001 0.383840 0.422243 0.461027 0.500000 0.538973 0.577757 0.616160 0.653999 0.691088 0.727250 0.762313 0.796111 0.828486 0.859289 0.888381 0.915632 0.940923 0.964146 0.985202 1.004005 1.020477 1.034549 1.046160 1.055256 1.061793 1.065731 1.067047 
1.142947 1.141465 1.137028 1.129654 1.119376 1.106240 1.090301 1.071627 1.050298 1.026405 1.000049 0.971345 0.940418 0.907406 0.872457 0.835731 0.797396 0.757633 0.716628 0.674576 0.631678 0.588142 0.544179 0.500000 0.455821 0.411858 0.368322 0.325424 0.283372 0.242367 0.202604 0.164269 0.127543 0.092594 0.059582 0.028655 -0.000049 -0.026405 -0.050298 -0.071627 -0.090301 -0.106240 -0.119376 -0.129654 -0.137028 -0.141465 -0.142947 -0.141465 -0.137028 -0.129654 -0.119376 -0.106240 -0.090301 -0.071627 -0.050298 -0.026405 -0.000049 0.028655 0.059582 0.092594 0.127543 0.164269 0.202604 0.242367 0.283372 0.325424 0.368322 0.411858 0.455821 0.500000 0.544179 0.588142 0.631678 0.674576 0.716628 0.757633 0.797396 0.835731 0.872457 0.907406 0.940418 0.971345 1.000049 1.026405 1.050298 1.071627 1.090301 1.106240 1.119376 1.129654 1.137028 1.141465 1.142947 
1.252064 1.250330 1.245134 1.236499 1.224461 1.209072 1.190399 1.168520 1.143531 1.115540 1.084669 1.051055 1.014847 0.976209 0.935315 0.892354 0.847523 0.801033 0.753103 0.703958 0.653834 0.602969 0.551609 0.500000 0.448391 0.397031 0.346166 0.296042 0.246897 0.198967 0.152477 0.107646 0.064685 0.023791 -0.014847 -0.051055 -0.084669 -0.115540 -0.143531 -0.168520 -0.190399 -0.209072 -0.224461 -0.236499 -0.245134 -0.250330 -0.252064 -0.250330 -0.245134 -0.236499 -0.224461 -0.209072 -0.190399 -0.168520 -0.143531 -0.115540 -0.084669 -0.051055 -0.014847 0.023791 0.064685 0.107646 0.152477 0.198967 0.246897 0.296042 0.346166 0.397031 0.448391 0.500000 0.551609 0.602969 0.653834 0.703958 0.753103 0.801033 0.847523 0.892354 0.935315 0.976209 1.014847 1.051055 1.084669 1.115540 1.143531 1.168520 1.190399 1.209072 1.224461 1.236499 1.245134 1.250330 1.252064 
1.400074 1.397993 1.391759 1.381398 1.366956 1.348496 1.326097 1.299859 1.269896 1.236342 1.199345 1.159072 1.115704 1.069438 1.020487 0.969075 0.915442 0.859837 0.802523 0.743768 0.683851 0.623057 0.561676 0.500000 0.438324 0.376943 0.316149 0.256232 0.197477 0.140163 0.084558 0.030925 -0.020487 -0.069438 -0.115704 -0.159072 -0.199345 -0.236342 -0.269896 -0.299859 -0.326097 -0.348496 -0.366956 -0.381398 -0.391759 -0.397993 -0.400074 -0.397993 -0.391759 -0.381398 -0.366956 -0.348496 -0.326097 -0.299859 -0.269896 -0.236342 -0.199345 -0.159072 -0.115704 -0.069438 -0.020487 0.030925 0.084558 0.140163 0.197477 0.256232 0.316149 0.376943 0.438324 0.500000 0.561676 0.623057 0.683851 0.743768 0.802523 0.859837 0.915442 0.969075 1.020487 1.069438 1.115704 1.159072 1.199345 1.236342 1.269896 1.299859 1.326097 1.348496 1.366956 1.381398 1.391759 1.397993 1.400074 
1.594825 1.592287 1.584685 1.572053 1.554447 1.531944 1.504646 1.472673 1.436168 1.395297 1.350244 1.301213 1.248428 1.192130 1.132579 1.070051 1.004835 0.937237 0.867573 0.796169 0.723364 0.649500 0.574928 0.500000 0.425072 0.350500 0.276636 0.203831 0.132427 0.062763 -0.004835 -0.070051 -0.132579 -0.192130 -0.248428 -0.301213 -0.350244 -0.395297 -0.436168 -0.472673 -0.504646 -0.531944 -0.554447 -0.572053 -0.584685 -0.592287 -0.594825 -0.592287 -0.584685 -0.572053 -0.554447 -0.531944 -0.504646 -0.472673 -0.436168 -0.395297 -0.350244 -0.301213 -0.248428 -0.192130 -0.132579 -0.070051 -0.004835 0.062763 0.132427 0.203831 0.276636 0.350500 0.425072 0.500000 0.574928 0.649500 0.723364 0.796169 0.867573 0.937237 1.004835 1.070051 1.132579 1.192130 1.248428 1.301213 1.350244 1.395297 1.436168 1.472673 1.504646 1.531944 1.554447 1.572053 1.584685 1.592287 1.594825 
1.846753 1.843626 1.834257 1.818691 1.796995 1.769269 1.735638 1.696254 1.651295 1.600967 1.545499 1.485146 1.420183 1.350912 1.277651 1.200742 1.120541 1.037423 0.951776 0.864002 0.774514 0.683731 0.592083 0.500000 0.407917 0.316269 0.225486 0.135998 0.048224 -0.037423 -0.120541 -0.200742 -0.277651 -0.350912 -0.420183 -0.485146 -0.545499 -0.600967 -0.651295 -0.696254 -0.735638 -0.769269 -0.796995 -0.818691 -0.834257 -0.843626 -0.846753 -0.843626 -0.834257 -0.818691 -0.796995 -0.769269 -0.735638 -0.696254 -0.651295 -0.600967 -0.545499 -0.485146 -0.420183 -0.350912 -0.277651 -0.200742 -0.120541 -0.037423 0.048224 0.135998 0.225486 0.316269 0.407917 0.500000 0.592083 0.683731 0.774514 0.864002 0.951776 1.037423 1.120541 1.200742 1.277651 1.350912 1.420183 1.485146 1.545499 1.600967 1.651295 1.696254 1.735638 1.769269 1.796995 1.818691 1.834257 1.843626 1.846753 
2.169462 2.165580 2.153951 2.134630 2.107703 2.073293 2.031559 1.982690 1.926911 1.864477 1.795677 1.720826 1.640270 1.554383 1.463562 1.368230 1.268830 1.165826 1.059699 0.950946 0.840075 0.727608 0.614072 0.500000 0.385928 0.272392 0.159925 0.049054 -0.059699 -0.165826 -0.268830 -0.368230 -0.463562 -0.554383 -0.640270 -0.720826 -0.795677 -0.864477 -0.926911 -0.982690 -1.031559 -1.073293 -1.107703 -1.134630 -1.153951 -1.165580 -1.169462 -1.165580 -1.153951 -1.134630 -1.107703 -1.073293 -1.031559 -0.982690 -0.926911 -0.864477 -0.795677 -0.720826 -0.640270 -0.554383 -0.463562 -0.368230 -0.268830 -0.165826 -0.059699 0.049054 0.159925 0.272392 0.385928 0.500000 0.614072 0.727608 0.840075 0.950946 1.059699 1.165826 1.268830 1.368230 1.463562 1.554383 1.640270 1.720826 1.795677 1.864477 1.926911 1.982690 2.031559 2.073293 2.107703 2.134630 2.153951 2.165580 2.169462 
2.580483 2.575641 2.561137 2.537037 2.503452 2.460538 2.408490 2.347550 2.277997 2.200154 2.114379 2.021070 1.920659 1.813613 1.700427 1.581629 1.457773 1.329435 1.197216 1.061732 0.923617 0.783519 0.642092 0.500000 0.357908 0.216481 0.076383 -0.061732 -0.197216 -0.329435 -0.457773 -0.581629 -0.700427 -0.813613 -0.920659 -1.021070 -1.114379 -1.200154 -1.277997 -1.347550 -1.408490 -1.460538 -1.503452 -1.537037 -1.561137 -1.575641 -1.580483 -1.575641 -1.561137 -1.537037 -1.503452 -1.460538 -1.408490 -1.347550 -1.277997 -1.200154 -1.114379 -1.021070 -0.920659 -0.813613 -0.700427 -0.581629 -0.457773 -0.329435 -0.197216 -0.061732 0.076383 0.216481 0.357908 0.500000 0.642092 0.783519 0.923617 1.061732 1.197216 1.329435 1.457773 1.581629 1.700427 1.813613 1.920659 2.021070 2.114379 2.200154 2.277997 2.347550 2.408490 2.460538 2.503452 2.537037 2.561137 2.575641 2.580483 
