0.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 3.000000 0.000000 
4.000000 3.075246 2.737169 2.567796 2.481096 2.439538 2.421159 2.413633 2.410758 2.409726 2.409375 2.409262 2.409226 2.409216 2.409213 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409212 2.409213 2.409233 2.409422 2.410622 2.415901 2.432463 2.469371 2.521496 2.514262 2.000000 
4.000000 3.013152 2.442179 2.124454 1.959738 1.881593 1.847616 1.833970 1.828861 1.827063 1.826463 1.826273 1.826214 1.826197 1.826193 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826191 1.826192 1.826218 1.826498 1.828438 1.837652 1.868559 1.942288 2.061962 2.155282 2.000000 
4.000000 2.890581 2.141156 1.701709 1.472147 1.364159 1.317879 1.299596 1.292866 1.290537 1.289772 1.289533 1.289461 1.289441 1.289435 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289433 1.289434 1.289461 1.289773 1.292090 1.303878 1.346044 1.453523 1.646902 1.874970 2.000000 
4.000000 2.755461 1.866121 1.332285 1.052880 0.922489 0.867280 0.845762 0.837949 0.835281 0.834416 0.834148 0.834069 0.834046 0.834040 0.834038 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834037 0.834039 0.834066 0.834384 0.836843 0.850010 0.899793 1.034362 1.295300 1.654362 2.000000 
4.000000 2.637267 1.643045 1.041078 0.726576 0.580881 0.519789 0.496227 0.487759 0.484894 0.483974 0.483691 0.483608 0.483584 0.483577 0.483576 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483575 0.483576 0.483604 0.483921 0.486411 0.500116 0.554052 0.706913 1.020249 1.486777 2.000000 
4.000000 2.550616 1.484773 0.838169 0.501444 0.346404 0.281863 0.257152 0.248332 0.245367 0.244420 0.244130 0.244045 0.244021 0.244014 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244012 0.244013 0.244040 0.244358 0.246847 0.260667 0.316231 0.478908 0.826054 1.368461 2.000000 
4.000000 2.497561 1.388948 0.716655 0.367628 0.207627 0.141334 0.116065 0.107083 0.104073 0.103114 0.102822 0.102736 0.102712 0.102705 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102703 0.102704 0.102732 0.103049 0.105539 0.119358 0.175268 0.341701 0.706134 1.293675 2.000000 
4.000000 2.471295 1.341360 0.656642 0.301906 0.139706 0.072673 0.047180 0.038136 0.035110 0.034148 0.033855 0.033769 0.033744 0.033738 0.033736 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033735 0.033737 0.033764 0.034082 0.036571 0.050391 0.106301 0.273509 0.644242 1.253207 2.000000 
4.000000 2.461428 1.323192 0.633752 0.276937 0.113975 0.046700 0.021138 0.012075 0.009045 0.008081 0.007788 0.007702 0.007678 0.007671 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007669 0.007670 0.007697 0.008015 0.010504 0.024324 0.080234 0.247443 0.619415 1.235649 2.000000 
4.000000 2.458937 1.318460 0.627768 0.270427 0.107283 0.039953 0.014376 0.005310 0.002279 0.001315 0.001022 0.000936 0.000911 0.000905 0.000903 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000902 0.000904 0.000931 0.001249 0.003738 0.017558 0.073468 0.240676 0.612648 1.230213 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000002 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000002 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000002 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000002 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000003 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039052 0.013474 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000003 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000029 0.000346 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106389 0.039053 0.013475 0.004408 0.001377 0.000413 0.000120 0.000034 0.000009 0.000003 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000029 0.000347 0.002836 0.016656 0.072566 0.239774 0.611746 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106390 0.039053 0.013475 0.004408 0.001377 0.000413 0.000120 0.000034 0.000010 0.000003 0.000001 0.000001 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000002 0.000029 0.000347 0.002836 0.016656 0.072566 0.239774 0.611747 1.229311 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269556 0.106390 0.039053 0.013475 0.004409 0.001378 0.000414 0.000120 0.000034 0.000010 0.000003 0.000002 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000001 0.000002 0.000030 0.000347 0.002837 0.016656 0.072566 0.239775 0.611747 1.229312 2.000000 
4.000000 2.458622 1.317831 0.626966 0.269557 0.106390 0.039054 0.013476 0.004409 0.001378 0.000415 0.000121 0.000035 0.000011 0.000004 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000002 0.000003 0.000030 0.000348 0.002837 0.016657 0.072567 0.239775 0.611747 1.229312 2.000000 
4.000000 2.458622 1.317831 0.626967 0.269557 0.106391 0.039055 0.013477 0.004410 0.001380 0.000416 0.000122 0.000036 0.000012 0.000005 0.000004 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000003 0.000004 0.000032 0.000349 0.002839 0.016658 0.072568 0.239777 0.611748 1.229313 2.000000 
4.000000 2.458623 1.317832 0.626968 0.269558 0.106393 0.039056 0.013479 0.004413 0.001382 0.000418 0.000125 0.000039 0.000014 0.000008 0.000006 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000005 0.000007 0.000034 0.000352 0.002841 0.016661 0.072571 0.239779 0.611750 1.229314 2.000000 
4.000000 2.458623 1.317833 0.626969 0.269561 0.106396 0.039060 0.013483 0.004417 0.001386 0.000422 0.000129 0.000043 0.000019 0.000012 0.000010 0.000010 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000009 0.000011 0.000038 0.000356 0.002845 0.016665 0.072575 0.239782 0.611753 1.229316 2.000000 
4.000000 2.458624 1.317834 0.626972 0.269565 0.106401 0.039066 0.013489 0.004424 0.001393 0.000430 0.000136 0.000050 0.000026 0.000019 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000017 0.000018 0.000045 0.000363 0.002853 0.016672 0.072582 0.239789 0.611759 1.229319 2.000000 
4.000000 2.458625 1.317837 0.626977 0.269572 0.106410 0.039076 0.013501 0.004436 0.001406 0.000442 0.000149 0.000063 0.000039 0.000032 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000030 0.000031 0.000058 0.000376 0.002866 0.016685 0.072594 0.239800 0.611768 1.229325 2.000000 
4.000000 2.458627 1.317843 0.626986 0.269585 0.106426 0.039095 0.013521 0.004457 0.001428 0.000465 0.000172 0.000086 0.000062 0.000055 0.000053 0.000053 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000052 0.000054 0.000081 0.000399 0.002888 0.016707 0.072616 0.239820 0.611784 1.229334 2.000000 
4.000000 2.458631 1.317853 0.627003 0.269608 0.106454 0.039128 0.013557 0.004495 0.001466 0.000503 0.000211 0.000125 0.000101 0.000094 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000092 0.000093 0.000120 0.000438 0.002927 0.016746 0.072653 0.239854 0.611812 1.229351 2.000000 
