0.000000 2.000000 2.000000 2.000000 2.000000 2.000000 2.000000 2.000000 2.000000 0.000000 
10.000000 6.136069 6.093988 6.373676 6.436723 6.152031 5.363387 3.726766 0.268501 -10.000000 
10.000000 9.316676 10.107534 10.801513 10.960380 10.430051 8.938769 5.908943 0.239561 -10.000000 
10.000000 12.128737 14.145299 15.363128 15.656337 14.948308 12.898787 8.751010 1.353166 -10.000000 
10.000000 14.968841 18.382748 20.155899 20.602603 19.801940 17.383368 12.405594 3.455602 -10.000000 
10.000000 18.197680 23.030386 25.280281 25.860712 25.060048 22.507750 17.053231 6.684440 -10.000000 
10.000000 22.267761 28.323726 30.822030 31.464094 30.756065 28.357688 22.929437 11.492191 -10.000000 
10.000000 27.890793 34.506483 36.827838 37.405000 36.874670 34.965094 30.307893 18.813678 -10.000000 
10.000000 36.332599 41.762822 43.269695 43.622778 43.338086 42.259406 39.395601 30.465031 -10.000000 
0.000000 50.000000 50.000000 50.000000 50.000000 50.000000 50.000000 50.000000 50.000000 0.000000 
