-0.000000 -0.000233 -0.000927 -0.002070 -0.003640 -0.005607 -0.007936 -0.010583 -0.013498 -0.016628 -0.019914 -0.023294 -0.026706 -0.030086 -0.033372 -0.036502 -0.039417 -0.042064 -0.044393 -0.046360 -0.047930 -0.049073 -0.049767 -0.050000 -0.049767 -0.049073 -0.047930 -0.046360 -0.044393 -0.042064 -0.039417 -0.036502 -0.033372 -0.030086 -0.026706 -0.023294 -0.019914 -0.016628 -0.013498 -0.010583 -0.007936 -0.005607 -0.003640 -0.002070 -0.000927 -0.000233 0.000000 0.000233 0.000927 0.002070 0.003640 0.005607 0.007936 0.010583 0.013498 0.016628 0.019914 0.023294 0.026706 0.030086 0.033372 0.036502 0.039417 0.042064 0.044393 0.046360 0.047930 0.049073 0.049767 0.050000 0.049767 0.049073 0.047930 0.046360 0.044393 0.042064 0.039417 0.036502 0.033372 0.030086 0.026706 0.023294 0.019914 0.016628 0.013498 0.010583 0.007936 0.005607 0.003640 0.002070 0.000927 0.000233 0.000000 
-482059174869995754742237430518189623740621878597063605747712.000000 -482059174868582422714535353745971656059374516038260590903296.000000 -482059174868534609916829704089956203479397957951191768891392.000000 -482059174868517215335574850203905805619145292229217104166912.000000 -482059174868444158094304463882494134606084096196923512324096.000000 -482059174868379575136209519197876247165966506542002193039360.000000 -482059174868318649500327133535453571583645631218367854542848.000000 -482059174868255582992905688933209308572370581652028941926400.000000 -482059174868196352213658391598145389704638427603869057941504.000000 -482059174868144614484797800552457026838245883405175183376384.000000 -482059174868089843854590209342021415114168259029316495474688.000000 -482059174868037035689960088826422258533298627709270333849600.000000 -482059174867987349629657762598062916952987167159835009482752.000000 -482059174867981640638886938758538683809109369179289478496256.000000 -482059174867978696940520732716284001094297379595570689081344.000000 -482059174867973879979557850101685429379150487549485397311488.000000 -482059174867966743741094320302280137949303240073803483578368.000000 -482059174867956039383399025603172200804532368860280612978688.000000 -482059174867945335025703730904064263659761497646757742379008.000000 -482059174867941231688587201269406221087599330348240641982464.000000 -482059174867937217554451465757240744658310253643169565507584.000000 -482059174867933025014354142000090135943274995751206441189376.000000 -482059174867928832474256818242939527228239737859243316871168.000000 -482059174867924907543101876853266616941823751747618264317952.000000 -482059174867929189286179994732909791799732100233027412557824.000000 -482059174867933649435219700857538098943386629905328608641024.000000 -482059174867938109584259406982166406087041159577629804724224.000000 -482059174867942569733299113106794713230695689249931000807424.000000 -482059174867946851476377230986437888088604037735340149047296.000000 -482059174867957823443014908053023523661994180729201091411968.000000 -482059174867968706206671790997116593092511233129616009854976.000000 -482059174867976020851096909041507016808104661792189971431424.000000 -482059174867981016218021379901090720808997735025167311044608.000000 -482059174867984227525329968310823101952428996389224172224512.000000 -482059174867990293328023968640317599667799156743553798897664.000000 -482059174868040246997268677236154639676729889073327195029504.000000 -482059174868093233567860385996738928543345701580265404497920.000000 -482059174868148004198067977207174540267423325956124092399616.000000 -482059174868199831129909362375355469276688960748263990886400.000000 -482059174868259240315118247955404520430167295983315922714624.000000 -482059174868322396025520486680141349584315436143100859252736.000000 -482059174868383321661402872342564025166636311466735197749248.000000 -482059174868448083025459405272167044892500082308548564877312.000000 -482059174868521229469710585716071282048434368934288180641792.000000 -482059174868538624050965439602121679908687034656262845366272.000000 -482059174868586347645690295135644566345790502149885643456512.000000 -482059174869999768876373166030355100169910955302134682222592.000000 -482059174871413190107056036925065633994031408454383720988672.000000 -482059174871460913701780892458588520431134875948006519078912.000000 -482059174871478397486016540467131484434260632263427207725056.000000 -482059174871551633133248515033528287733068009482612847411200.000000 -482059174871616572903266636208116439744677961511318262382592.000000 -482059174871677676945110610115524247612745018021844648722432.000000 -482059174871740832655512848840261076766893158181629585260544.000000 -482059174871800331043702528542802694063244584010127541010432.000000 -482059174871852247178524707833476189215383309395713463418880.000000 -482059174871907017808732299043911800939460933771572151320576.000000 -482059174871960004379324007804496089806076746278510360788992.000000 -482059174872009958048568716400333129815007478608283756920832.000000 -482059174872015845445301128484842495244631457775721335750656.000000 -482059174872018789143667334527097177959443447359440125165568.000000 -482059174872023695307611011264188315817463429998971440857088.000000 -482059174872030742343093746941101041104437586881207330668544.000000 -482059174872041446700789041640208978249208458094730201268224.000000 -482059174872052151058484336339316915393979329308253071867904.000000 -482059174872056165192620071851482391823268406013324148342784.000000 -482059174872060268529736601486140434395430573311841248739328.000000 -482059174872064461069833925243291043110465831203804373057536.000000 -482059174872068653609931249000441651825501089095767497375744.000000 -482059174872072667744066984512607128254790165800838573850624.000000 -482059174872068386000988866632963953396881817315429425610752.000000 -482059174872064015054929954630828212396100378236574253449216.000000 -482059174872059644108871042628692471395318939157719081287680.000000 -482059174872055273162812130626556730394537500078863909126144.000000 -482059174872050991419734012746913555536629151593454760886272.000000 -482059174872039930250115541557835353820365918006147794599936.000000 -482059174872028958283477864491249718246975775012286852235264.000000 -482059174872021554436071952324366728388509255756266866737152.000000 -482059174872016469866166687342290458244743091929843503202304.000000 -482059174872013258558858098932558077101311830565786642022400.000000 -482059174872007192756164098603063579385941670211457015349248.000000 -482059174871957149883938595884733973234137847288237595295744.000000 -482059174871903895704404504756671985938902763000961314062336.000000 -482059174871848857465254531178758675786205866844764554395648.000000 -482059174871796673721489969520607482205447869678840560222208.000000 -482059174871737086130319495695573298766223353256896580550656.000000 -482059174871673662810974874603358771183455941316773572247552.000000 -482059174871612469566150106573458397172515794212801161986048.000000 -482059174871547618999112779521362811303778932777541770936320.000000 -482059174871474383351880804954966008004971555558356131250176.000000 -482059174871456899567645156946423044001845799242935442604032.000000 -482059174871409175972920301412900157564742331749312644513792.000000 -482059174869995754742237430518189623740621878597063605747712.000000 
-688859599600.580811 -688859626992.781128 -688859595635.994507 -688859567057.093628 -688859546013.091553 -688859528791.916992 -688859512822.525269 -688859498339.325684 -688859476246.612061 -688859331694.012451 -688859583819.288330 -688859588594.910889 -688859587745.963867 -688859586761.837769 -688859585774.564209 -688859584788.380859 -688859583802.162964 -688859582814.041382 -688859581826.021118 -688859580516.140137 -688859589783.659180 -688859600202.154053 -688859601260.261597 -688859601368.283691 -688859601260.297607 -688859600202.243896 -688859589784.620117 -688859580518.169189 -688859581827.708008 -688859582815.637207 -688859583803.667725 -688859584789.801025 -688859585775.900391 -688859586763.089478 -688859587747.131104 -688859588595.993652 -688859583820.277344 -688859331694.944214 -688859476247.736572 -688859498340.326050 -688859512823.397339 -688859528792.660400 -688859546013.705933 -688859567057.578003 -688859595636.352783 -688859626993.013550 -688859599600.681152 -688859572208.348389 -688859603565.009521 -688859632143.785034 -688859653187.657104 -688859670408.702637 -688859686377.965698 -688859700861.037109 -688859722953.625854 -688859867506.386353 -688859615381.026001 -688859610605.308350 -688859611454.171143 -688859612438.212524 -688859613425.401611 -688859614411.500610 -688859615397.634277 -688859616385.664673 -688859617373.593750 -688859618683.135132 -688859609416.668823 -688859598999.030518 -688859597940.975342 -688859597832.989014 -688859597941.010864 -688859598999.117920 -688859609417.603516 -688859618685.113037 -688859617375.232788 -688859616387.212402 -688859615399.090576 -688859614412.872803 -688859613426.689087 -688859612439.415161 -688859611455.288696 -688859610606.341309 -688859615381.960693 -688859867507.148315 -688859722954.550049 -688859700861.836548 -688859686378.636841 -688859670409.245117 -688859653188.070557 -688859632144.068481 -688859603565.166992 -688859572208.380127 -688859599600.580811 
-37162214151473214239017461575644096382082898375711856053452800.000000 -37162214151473670958279127482806035033593122214155498532372480.000000 -37162214151474373164143938815067515710290091365762598843711488.000000 -37162214151477661542827933346633474001163703002556824691933184.000000 -37162214151476708141369205765432927066136110739805721017188352.000000 -37162214151476656760452268350877208967841210557980811238309888.000000 -37162214151477022135861601076606759889049389628735725221445632.000000 -37162214151477444601178642040731553141696346679296094514446336.000000 -37162214151477867066495683004856346394343303729856463807447040.000000 -37162214151478260986858869849783518481270871790514105445515264.000000 -37162214151478443674563536212648293941874961325891562437083136.000000 -37162214151478757669055931523822126764788240214821566641340416.000000 -37162214151479140171437576721070250385428052679518117217435648.000000 -37162214151479728197486971576541246399247465871514306909044736.000000 -37162214151480424694361012084963202842800557225140861689397248.000000 -37162214151480995593438094468915626157188337023195414788046848.000000 -37162214151481372386828968842324225544684271689911419833155584.000000 -37162214151481366677838198018484701311540393891930874302169088.000000 -37162214151481366677838198018484701311540393891930874302169088.000000 -37162214151481360968847427194645177078396516093950328771182592.000000 -37162214151481349550865885546966128612108760497989237709209600.000000 -37162214151481326714902802251608031679533249306067055585263616.000000 -37162214151481309587930489780089458980101615912125418992304128.000000 -37162214151481298169948948132410410513813860316164327930331136.000000 -37162214151481286751967406484731362047526104720203236868358144.000000 -37162214151481269624995094013212789348094471326261600275398656.000000 -37162214151481263916004323189373265114950593528281054744412160.000000 -37162214151481246789032010717854692415518960134339418151452672.000000 -37162214151481223953068927422496595482943448942417236027506688.000000 -37162214151481201117105844127138498550367937750495053903560704.000000 -37162214151481178281142760831780401617792426558572871779614720.000000 -37162214151480784360779573986853229530864858497915230141546496.000000 -37162214151480207752711720779061281983333200901880131511910400.000000 -37162214151479516964828451094478849772923987346234122262544384.000000 -37162214151478940356760597886686902225392329750199023632908288.000000 -37162214151478580690342035984796875537328028477424655180759040.000000 -37162214151478266695849640673623042714414749588494650976501760.000000 -37162214151478084008144974310758267253810660053117193984933888.000000 -37162214151477690087781787465831095166883091992459552346865664.000000 -37162214151477279040446288149385350380523890537860274115837952.000000 -37162214151476862284120018009100081361020811285280450353823744.000000 -37162214151476508326692226931049578906100387810486627432660992.000000 -37162214151476571125590705993284345470683043588272628273512448.000000 -37162214151477535945030975222163940871998391446984823010230272.000000 -37162214151474253275337751514437506814268657608171142692995072.000000 -37162214151473551069472940182176026137571688456564042381656064.000000 -37162214151473100059202045098853611719205342416100945433722880.000000 -37162214151472643339940379191691673067695118577657302954803200.000000 -37162214151471946843066338683269716624142027224030748174450688.000000 -37162214151468669882363885799382806799556171183197613388201984.000000 -37162214151469646119785696675941450667159274637870899186892800.000000 -37162214151469720336665717385855265698029686011617991089717248.000000 -37162214151469377797219467955483811709397018132785259230527488.000000 -37162214151468978167865510286717115389325572274147072061472768.000000 -37162214151468584247502323441789943302398004213489430423404544.000000 -37162214151468201745120678244541819681758191748792879847309312.000000 -37162214151468030475397553529356092687441857809376513917714432.000000 -37162214151467727898886699865861308330816334516407600775430144.000000 -37162214151467368232468137963971281642752033243633232323280896.000000 -37162214151466797333391055580018858328364253445578679224631296.000000 -37162214151466117963489327543115474584242795485893761037238272.000000 -37162214151465552773403015983002575502998893485819753469575168.000000 -37162214151465175980012141609593976115502958819103748424466432.000000 -37162214151465164562030599961914927649215203223142657362493440.000000 -37162214151465153144049058314235879182927447627181566300520448.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465141726067516666556830716639692031220475238547456.000000 -37162214151465141726067516666556830716639692031220475238547456.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465141726067516666556830716639692031220475238547456.000000 -37162214151465141726067516666556830716639692031220475238547456.000000 -37162214151465147435058287490396354949783569829201020769533952.000000 -37162214151465158853039829138075403416071325425162111831506944.000000 -37162214151465164562030599961914927649215203223142657362493440.000000 -37162214151465547064412245159163051269855015687839207938588672.000000 -37162214151466117963489327543115474584242795485893761037238272.000000 -37162214151466803042381826403858382561508131243559224755617792.000000 -37162214151467373941458908787810805875895911041613777854267392.000000 -37162214151467739316868241513540356797104090112368691837403136.000000 -37162214151468047602369866000874665386873491203318150510673920.000000 -37162214151468218872092990716060392381189825142734516440268800.000000 -37162214151468607083465406737148040234973515405411612547350528.000000 -37162214151469023839791676877433309254476594657991436309364736.000000 -37162214151469434887127176193879054040835796112590714540392448.000000 -37162214151469788844554967271929556495756219587384537461555200.000000 -37162214151469731754647259033534314164317441607579082151690240.000000 -37162214151468766935206989804654718763002093748866887414972416.000000 -37162214151472049604900213512381152820731827587680567732207616.000000 -37162214151472757519755795668482157730572674537268213574533120.000000 -37162214151473214239017461575644096382082898375711856053452800.000000 
-1730063612276.171875 -1730063611916.133057 -1730063611544.244873 -1730063610328.785400 -1730063609948.814453 -1730063609485.023682 -1730063608934.223389 -1730063608378.741699 -1730063607822.712402 -1730063607269.015625 -1730063606733.601318 -1730063606186.858887 -1730063605631.725586 -1730063605052.014404 -1730063604372.898926 -1730063603786.653320 -1730063603220.341553 -1730063602699.133301 -1730063601483.689453 -1730063600895.624756 -1730063600347.811279 -1730063600002.142822 -1730063600929.342773 -1730063610570.069336 -1730063600928.652588 -1730063600001.623779 -1730063600347.546875 -1730063600895.626465 -1730063601483.949219 -1730063602699.631592 -1730063603221.111816 -1730063603787.765137 -1730063604374.320801 -1730063605053.745361 -1730063605633.769287 -1730063606189.214844 -1730063606736.257568 -1730063607271.947510 -1730063607825.933105 -1730063608381.202637 -1730063608936.854004 -1730063609487.319824 -1730063609950.670898 -1730063610330.205078 -1730063611545.183594 -1730063611916.579102 -1730063612276.187500 -1730063612635.795898 -1730063613007.191895 -1730063614222.170166 -1730063614601.703369 -1730063615065.054199 -1730063615615.519043 -1730063616171.171631 -1730063616726.444580 -1730063617280.427246 -1730063617816.115967 -1730063618363.157227 -1730063618918.600830 -1730063619498.623047 -1730063620178.046387 -1730063620764.600830 -1730063621331.252441 -1730063621852.731201 -1730063623068.412598 -1730063623656.734375 -1730063624204.812500 -1730063624550.734619 -1730063623623.705078 -1730063613982.287109 -1730063623623.010498 -1730063624550.208984 -1730063624204.539307 -1730063623656.724854 -1730063623068.658936 -1730063621853.213867 -1730063621332.004150 -1730063620765.691650 -1730063620179.445312 -1730063619500.328125 -1730063618920.615967 -1730063618365.482178 -1730063617818.738525 -1730063617283.322266 -1730063616729.624756 -1730063616173.598145 -1730063615618.118896 -1730063615067.318848 -1730063614603.528076 -1730063614223.557617 -1730063613008.098389 -1730063612636.210205 -1730063612276.171875 
-265347574336001966452412019110230105101627440234110124032.000000 -265347574336157679663515040551110945321988217367672389632.000000 -265347574336315962687053048919267860947384319214767570944.000000 -265347574336474289266734023167548099884730172328193818624.000000 -265347574336632572290272031535705015510126274175288999936.000000 -265347574336790811757667074023738607823572624756053114880.000000 -265347574336949094781205082391895523448968726603148296192.000000 -265347574337107334248600124879929115762415077183912411136.000000 -265347574337265573715995167367962708075861427764676526080.000000 -265347574337423813183390209855996300389307778345440641024.000000 -265347574337582009094642286463906569390804377659873689600.000000 -265347574337740205005894363071816838392300976974306738176.000000 -265347574337757845243795544521762779731950239838388617216.000000 -265347574337775485481696725971708721071599502702470496256.000000 -265347574337793169275740873301777985723198516832883441664.000000 -265347574337811157962785781792710513558445789827613851648.000000 -265347574337828841756829929122779778210044803958026797056.000000 -265347574337846438438588144692602396237744315555777609728.000000 -265347574337864035120346360262425014265443827153528422400.000000 -265347574337881762470533473472617602228992592550272434176.000000 -265347574337899359152291689042440220256692104148023246848.000000 -265347574337916912277906938732139514972441864479442993152.000000 -265347574337934465403522188421838809688191624810862739456.000000 -265347574337952018529137438111538104403941385142282485760.000000 -265347574337969615210895653681360722431640896740033298432.000000 -265347574337987168336510903371060017147390657071453044736.000000 -265347574338004677905983187180635988551190666136541724672.000000 -265347574338022143919312505110088636643040923935299338240.000000 -265347574338039479264212925399171314799041927935063752704.000000 -265347574338056988833685209208747286202841937000152432640.000000 -265347574338074454847014527138199934294692194798910046208.000000 -265347574338091877304200879187529259074592701331336593408.000000 -265347574338109038424529435956118643982794700265776742400.000000 -265347574338126547994001719765694615386594709330865422336.000000 -265347574338144014007331037695147263478444967129623035904.000000 -265347574338161567132946287384846558194194727461042782208.000000 -265347574337964693366740509227425188181319003644622798848.000000 -265347574337767819600534731070003818168443279828202815488.000000 -265347574337570902278185987032459124843617804745451765760.000000 -265347574337374028511980208875037754830742080929031782400.000000 -265347574337177154745774430717616384817866357112611799040.000000 -265347574336980280979568652560195014804990633296191815680.000000 -265347574336783363657219908522650321480165158213440765952.000000 -265347574336586446334871164485105628155339683130689716224.000000 -265347574336389441900236488687314288206614705515276533760.000000 -265347574336192437465601812889522948257889727899863351296.000000 -265347574335998002843402124019007683714200074997983084544.000000 -265347574335803568221202435148492419170510422096102817792.000000 -265347574335606607342710725230824402533735195747020701696.000000 -265347574335409602908076049433033062585010218131607519232.000000 -265347574335212685585727305395488369260184743048856469504.000000 -265347574335015768263378561357943675935359267966105419776.000000 -265347574334818894497172783200522305922483544149685436416.000000 -265347574334622064287109970923224259221557571599596519424.000000 -265347574334425190520904192765802889208681847783176536064.000000 -265347574334228316754698414608381519195806123966756552704.000000 -265347574334031399432349670570836825870980648884005502976.000000 -265347574333834525666143892413415455858104925067585519616.000000 -265347574333852470797045835024224660381402446795984863232.000000 -265347574333870372371804811754910541592750217258053140480.000000 -265347574333888273946563788485596422804097987720121417728.000000 -265347574333905783516036072295172394207897996785210097664.000000 -265347574333923641534652083145734952107296015980947308544.000000 -265347574333941499553268093996297510006694035176684519424.000000 -265347574333959357571884104846860067906092054372421730304.000000 -265347574333977084922071218057052655869640819769165742080.000000 -265347574333994942940687228907615213769038838964902952960.000000 -265347574334012888071589171518424418292336360693302296576.000000 -265347574334030833202491114129233622815633882421701640192.000000 -265347574334048778333393056740042827338931404150100983808.000000 -265347574334066679908152033470728708550279174612169261056.000000 -265347574334084625039053976081537913073576696340568604672.000000 -265347574334102613726098884572470440908823969335299014656.000000 -265347574334120602413143793063402968744071242330029424640.000000 -265347574334138765324760565074828789827117520390084100096.000000 -265347574334156710455662507685637994350415042118483443712.000000 -265347574334174655586564450296447198873712563846882787328.000000 -265347574334192600717466392907256403397010085575282130944.000000 -265347574334210894297512062559052194415905617434330005504.000000 -265347574334228795872271039289738075627253387896398282752.000000 -265347574334246697447030016020423956838601158358466560000.000000 -265347574334264555465646026870986514737999177554203770880.000000 -265347574334422707820755137598773460427546025602305753088.000000 -265347574334580860175864248326560406117092873650407735296.000000 -265347574334739012530973359054347351806639721698509717504.000000 -265347574334897164886082469782134297496186569746611699712.000000 -265347574335055317241191580509921243185733417794713681920.000000 -265347574335213513152443657117831512187230017109146730496.000000 -265347574335371665507552767845618457876776865157248712704.000000 -265347574335529817862661878573405403566323713205350694912.000000 -265347574335688057330056921061438995879770063786114809856.000000 -265347574335846253241308997669349264881266663100547858432.000000 -265347574336001966452412019110230105101627440234110124032.000000 
-4693790474469.577148 -4693790477053.930664 -4693790476583.274414 -4693790476102.178711 -4693790475703.701172 -4693790475298.188477 -4693790474902.464844 -4693790474524.756836 -4693790474117.946289 -4693790473771.960938 -4693790473420.983398 -4693790473072.175781 -4693790473193.735352 -4693790473291.782227 -4693790473380.139648 -4693790473272.401367 -4693790473312.874023 -4693790473390.734375 -4693790473470.077148 -4693790473454.816406 -4693790473556.549805 -4693790473804.348633 -4693790474110.224609 -4693790474687.390625 -4693790474108.291992 -4693790473800.531250 -4693790473550.175781 -4693790473445.611328 -4693790473458.016602 -4693790473375.833008 -4693790473295.173828 -4693790473252.010742 -4693790473357.250000 -4693790473266.020508 -4693790473164.863281 -4693790473040.189453 -4693790473385.873047 -4693790473734.124023 -4693790474077.163086 -4693790474487.103516 -4693790474865.119141 -4693790475261.900391 -4693790475668.714844 -4693790476068.527344 -4693790476549.955078 -4693790477020.626953 -4693790474461.256836 -4693790471901.880859 -4693790472372.944336 -4693790472854.765625 -4693790473254.968750 -4693790473662.173828 -4693790474059.345703 -4693790474437.754883 -4693790474848.093750 -4693790475191.522461 -4693790475540.163086 -4693790475886.236328 -4693790475761.955078 -4693790475661.189453 -4693790475570.351562 -4693790475675.980469 -4693790475633.209961 -4693790475552.941406 -4693790475471.150391 -4693790475483.947266 -4693790475379.777344 -4693790475129.811523 -4693790474822.442383 -4693790474243.732422 -4693790474821.266602 -4693790475127.506836 -4693790475375.668945 -4693790475477.767578 -4693790475462.875000 -4693790475542.583984 -4693790475620.810547 -4693790475661.650391 -4693790475554.273438 -4693790475642.993164 -4693790475741.402344 -4693790475863.324219 -4693790475514.876953 -4693790475164.261719 -4693790474818.639648 -4693790474412.200195 -4693790474034.864258 -4693790473639.504883 -4693790473234.355469 -4693790472836.244141 -4693790472355.513672 -4693790471885.223633 -4693790474469.577148 
-13273856681688568.000000 -13273856681687872.000000 -13273856681687182.000000 -13273856681686498.000000 -13273856681685808.000000 -13273856681685008.000000 -13273856681684312.000000 -13273856681683858.000000 -13273856681682958.000000 -13273856681682822.000000 -13273856681682670.000000 -13273856681682586.000000 -13273856681682512.000000 -13273856681682436.000000 -13273856681682306.000000 -13273856681682140.000000 -13273856681682144.000000 -13273856681682218.000000 -13273856681682286.000000 -13273856681682358.000000 -13273856681682416.000000 -13273856681682432.000000 -13273856681682392.000000 -13273856681682354.000000 -13273856681682404.000000 -13273856681682458.000000 -13273856681682454.000000 -13273856681682410.000000 -13273856681682352.000000 -13273856681682292.000000 -13273856681682230.000000 -13273856681682236.000000 -13273856681682406.000000 -13273856681682534.000000 -13273856681682606.000000 -13273856681682678.000000 -13273856681682758.000000 -13273856681682906.000000 -13273856681683038.000000 -13273856681683938.000000 -13273856681684396.000000 -13273856681685086.000000 -13273856681685886.000000 -13273856681686570.000000 -13273856681687254.000000 -13273856681687942.000000 -13273856681688638.000000 -13273856681689334.000000 -13273856681690022.000000 -13273856681690704.000000 -13273856681691386.000000 -13273856681692180.000000 -13273856681692868.000000 -13273856681693326.000000 -13273856681694224.000000 -13273856681694350.000000 -13273856681694492.000000 -13273856681694566.000000 -13273856681694632.000000 -13273856681694700.000000 -13273856681694822.000000 -13273856681694986.000000 -13273856681694984.000000 -13273856681694918.000000 -13273856681694858.000000 -13273856681694798.000000 -13273856681694750.000000 -13273856681694742.000000 -13273856681694790.000000 -13273856681694834.000000 -13273856681694790.000000 -13273856681694742.000000 -13273856681694752.000000 -13273856681694802.000000 -13273856681694864.000000 -13273856681694928.000000 -13273856681694994.000000 -13273856681694996.000000 -13273856681694824.000000 -13273856681694688.000000 -13273856681694606.000000 -13273856681694528.000000 -13273856681694444.000000 -13273856681694292.000000 -13273856681694154.000000 -13273856681693266.000000 -13273856681692816.000000 -13273856681692126.000000 -13273856681691328.000000 -13273856681690642.000000 -13273856681689956.000000 -13273856681689266.000000 -13273856681688568.000000 
-20841148672.337334 -20839395333.791962 -20837639863.199043 -20835894698.659679 -20834161112.027931 -20832425185.870163 -20830831762.615173 -20829910396.591965 -20827624977.682507 -20827494684.081604 -20827321998.590759 -20827279601.737541 -20827253708.177494 -20827224581.770069 -20827093656.505119 -20826900113.305206 -20827029927.367020 -20827249381.130692 -20827489659.227276 -20827736622.113033 -20827980458.213070 -20828147462.287739 -20828137428.999168 -20828136164.899677 -20828269116.760784 -20828409126.528114 -20828420866.108025 -20828374720.577023 -20828326038.907997 -20828282617.723984 -20828255681.456467 -20828294390.315929 -20828563877.150444 -20828779854.575047 -20828918949.009373 -20829056153.361122 -20829206087.127972 -20829459194.942463 -20829676469.717072 -20831568597.703873 -20832493493.901131 -20833848807.629349 -20835297242.702606 -20836744899.051823 -20838203036.453037 -20839670485.814976 -20841137748.821709 -20842605079.736610 -20844072733.278728 -20845531207.594799 -20846979330.667019 -20848428369.439137 -20849784296.185623 -20850709274.621338 -20852603120.092659 -20852819371.720535 -20853071680.380440 -20853220698.565735 -20853357091.476505 -20853495520.414776 -20853711230.179859 -20853980788.568592 -20854018787.940845 -20853991007.544659 -20853946804.060993 -20853897455.466610 -20853850798.395737 -20853862456.757362 -20854003165.603043 -20854136920.394176 -20854135756.744118 -20854125942.426132 -20854294640.166325 -20854540851.346615 -20854790383.741501 -20855033364.341999 -20855255576.288380 -20855387866.614136 -20855195418.372433 -20855066049.874062 -20855039093.956997 -20855015566.020260 -20854975657.958679 -20854805261.284550 -20854677545.271069 -20852389174.449501 -20851468408.023247 -20849874296.257710 -20848137601.911129 -20846403422.810051 -20844657829.872391 -20842902097.728870 -20841148672.337334 
185664915541.615631 185665268985.511810 185665622441.565186 185665975869.720490 185666329268.531921 185666682702.886841 185667035789.831238 185667387276.699615 185667742058.320221 185668091593.210022 185668441229.877686 185668790525.329681 185669139782.128815 185669489060.483978 185669838594.356232 185670188283.881989 185670537185.121033 185670885867.953949 185671234492.549866 185671583086.300171 185671931711.655823 185672282510.811554 185672699831.821014 185672566966.900421 185672223375.616364 185671876516.336304 185671545463.267944 185671215723.230988 185670886007.159485 185670556266.551331 185670226477.739288 185669896511.632050 185669565911.322113 185669235461.454132 185668905233.965973 185668575026.935822 185668244787.870148 185667914267.109406 185667583834.714325 185667249135.269257 185666917073.333832 185666583748.913025 185666250137.131042 185665916556.683929 185665582949.219879 185665249315.726624 185664915689.177612 185664582062.921265 185664248430.301910 185663914824.282196 185663581245.837250 185663247636.598480 185662914315.209778 185662582256.700500 185662247561.890533 185661917133.097504 185661586616.377777 185661256381.781555 185660926179.689697 185660595957.635834 185660265513.725708 185659934919.863831 185659604960.682739 185659275179.263000 185658945446.524323 185658615739.077515 185658286009.181122 185657954970.861542 185657608169.413574 185657264718.467987 185657131359.928741 185657548727.728943 185657899507.020660 185658248118.074249 185658596699.549072 185658945312.819122 185659293984.908936 185659642875.980682 185659992555.856598 185660342080.666840 185660691350.530640 185661040599.412140 185661389887.512665 185661739517.381104 185662089046.030823 185662443823.304382 185662795305.782471 185663148388.994598 185663501820.271606 185663855216.659027 185664208643.068634 185664562098.071350 185664915541.615631 
