0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000002 0.000003 0.000003 0.000004 0.000005 0.000005 0.000006 0.000007 0.000008 0.000009 0.000011 0.000012 0.000014 0.000016 0.000018 0.000020 0.000023 0.000026 0.000030 0.000034 0.000038 0.000044 0.000050 0.000056 0.000064 0.000072 0.000082 0.000093 0.000106 0.000120 0.000137 0.000155 0.000176 0.000200 0.000227 0.000258 0.000293 0.000332 0.000377 0.000428 0.000486 0.000552 0.000626 0.000711 0.000807 0.000916 0.001040 0.001181 0.001341 0.001522 0.001728 0.001962 0.002227 0.002528 0.002870 0.003259 0.003699 0.004200 0.004768 0.005413 0.006145 0.006977 0.007921 0.008994 0.010211 0.011595 0.013166 0.014951 0.016980 0.019287 0.021910 0.024895 0.028294 0.032167 0.036587 0.041635 0.047414 0.054044 0.061675 0.070491 0.080729 0.092699 0.106814 0.123648 0.144026 0.169183 0.201071 0.242971 0.300888 0.387137 0.531775 0.832912 1.831591 10.000000 
0.000000 0.000001 0.000001 0.000002 0.000003 0.000004 0.000005 0.000006 0.000007 0.000008 0.000009 0.000011 0.000012 0.000014 0.000016 0.000019 0.000021 0.000024 0.000028 0.000031 0.000036 0.000041 0.000046 0.000052 0.000059 0.000068 0.000077 0.000087 0.000099 0.000112 0.000128 0.000145 0.000164 0.000187 0.000212 0.000241 0.000273 0.000310 0.000352 0.000400 0.000454 0.000515 0.000585 0.000664 0.000754 0.000856 0.000972 0.001103 0.001252 0.001422 0.001614 0.001832 0.002080 0.002361 0.002680 0.003043 0.003455 0.003922 0.004452 0.005054 0.005738 0.006514 0.007395 0.008395 0.009531 0.010821 0.012285 0.013947 0.015834 0.017978 0.020412 0.023177 0.026318 0.029887 0.033943 0.038554 0.043798 0.049765 0.056558 0.064301 0.073134 0.083225 0.094775 0.108026 0.123275 0.140893 0.161350 0.185263 0.213458 0.247075 0.287753 0.337946 0.401516 0.484942 0.600005 0.770625 1.053770 1.622227 3.215074 10.000000 
0.000000 0.000001 0.000002 0.000003 0.000005 0.000006 0.000007 0.000009 0.000010 0.000012 0.000014 0.000016 0.000019 0.000021 0.000024 0.000028 0.000032 0.000036 0.000041 0.000047 0.000053 0.000061 0.000069 0.000078 0.000089 0.000101 0.000115 0.000131 0.000148 0.000168 0.000191 0.000217 0.000247 0.000280 0.000318 0.000361 0.000410 0.000465 0.000528 0.000599 0.000680 0.000772 0.000877 0.000995 0.001130 0.001283 0.001456 0.001653 0.001877 0.002131 0.002419 0.002746 0.003117 0.003539 0.004017 0.004561 0.005177 0.005878 0.006673 0.007575 0.008600 0.009763 0.011083 0.012583 0.014285 0.016217 0.018411 0.020903 0.023732 0.026944 0.030593 0.034737 0.039444 0.044793 0.050871 0.057782 0.065640 0.074582 0.084764 0.096366 0.109602 0.124723 0.142030 0.161883 0.184728 0.211117 0.241755 0.277560 0.319762 0.370060 0.430886 0.505872 0.600720 0.724935 0.895649 1.147081 1.557932 2.347518 4.274052 10.000000 
0.000000 0.000001 0.000003 0.000004 0.000006 0.000008 0.000009 0.000011 0.000014 0.000016 0.000019 0.000021 0.000025 0.000028 0.000033 0.000037 0.000042 0.000048 0.000055 0.000063 0.000071 0.000081 0.000092 0.000105 0.000119 0.000135 0.000153 0.000174 0.000198 0.000224 0.000255 0.000289 0.000328 0.000373 0.000423 0.000480 0.000545 0.000619 0.000703 0.000798 0.000906 0.001028 0.001168 0.001326 0.001505 0.001708 0.001939 0.002202 0.002499 0.002837 0.003221 0.003657 0.004151 0.004713 0.005350 0.006074 0.006895 0.007828 0.008886 0.010088 0.011453 0.013002 0.014760 0.016757 0.019024 0.021597 0.024520 0.027837 0.031605 0.035883 0.040742 0.046261 0.052530 0.059653 0.067748 0.076950 0.087415 0.099322 0.112880 0.128329 0.145953 0.166085 0.189125 0.215553 0.245959 0.281076 0.321837 0.369458 0.425561 0.492387 0.573133 0.672557 0.798088 0.962021 1.186249 1.513573 2.038423 3.001750 5.095566 10.000000 
0.000000 0.000002 0.000004 0.000006 0.000007 0.000010 0.000012 0.000014 0.000017 0.000020 0.000023 0.000027 0.000031 0.000035 0.000041 0.000046 0.000053 0.000060 0.000069 0.000078 0.000089 0.000101 0.000115 0.000130 0.000148 0.000168 0.000191 0.000217 0.000247 0.000280 0.000318 0.000361 0.000410 0.000465 0.000528 0.000600 0.000681 0.000773 0.000877 0.000996 0.001131 0.001284 0.001457 0.001654 0.001878 0.002132 0.002420 0.002748 0.003119 0.003541 0.004020 0.004564 0.005181 0.005882 0.006678 0.007581 0.008606 0.009770 0.011091 0.012591 0.014294 0.016228 0.018423 0.020915 0.023744 0.026956 0.030603 0.034744 0.039446 0.044786 0.050850 0.057738 0.065562 0.074452 0.084555 0.096039 0.109099 0.123960 0.140878 0.160156 0.182147 0.207266 0.236009 0.268975 0.306895 0.350682 0.401490 0.460825 0.530690 0.613844 0.714213 0.837611 0.993056 1.195340 1.470406 1.867719 2.491509 3.585326 5.741417 10.000000 
0.000000 0.000002 0.000004 0.000007 0.000009 0.000011 0.000014 0.000017 0.000020 0.000024 0.000028 0.000032 0.000037 0.000042 0.000049 0.000056 0.000063 0.000072 0.000082 0.000094 0.000106 0.000121 0.000138 0.000156 0.000178 0.000202 0.000229 0.000260 0.000295 0.000335 0.000381 0.000432 0.000491 0.000557 0.000633 0.000718 0.000815 0.000926 0.001051 0.001193 0.001354 0.001538 0.001745 0.001982 0.002250 0.002554 0.002899 0.003291 0.003736 0.004242 0.004815 0.005467 0.006206 0.007045 0.007998 0.009080 0.010308 0.011702 0.013285 0.015082 0.017121 0.019437 0.022066 0.025051 0.028440 0.032287 0.036656 0.041616 0.047248 0.053644 0.060907 0.069157 0.078528 0.089176 0.101275 0.115030 0.130672 0.148468 0.168729 0.191814 0.218145 0.248219 0.282629 0.322087 0.367465 0.419849 0.480611 0.551534 0.634988 0.734226 0.853854 1.000661 1.185097 1.424109 1.746921 2.207710 2.915219 4.102510 6.255863 10.000000 
0.000000 0.000003 0.000005 0.000008 0.000010 0.000013 0.000017 0.000020 0.000024 0.000028 0.000032 0.000037 0.000043 0.000049 0.000057 0.000065 0.000074 0.000084 0.000096 0.000109 0.000124 0.000141 0.000160 0.000182 0.000207 0.000235 0.000267 0.000303 0.000344 0.000390 0.000443 0.000503 0.000571 0.000649 0.000736 0.000836 0.000949 0.001078 0.001223 0.001389 0.001577 0.001790 0.002032 0.002307 0.002619 0.002973 0.003375 0.003831 0.004350 0.004938 0.005606 0.006364 0.007225 0.008202 0.009311 0.010570 0.012000 0.013623 0.015465 0.017557 0.019931 0.022627 0.025688 0.029162 0.033107 0.037586 0.042671 0.048445 0.055002 0.062447 0.070902 0.080505 0.091414 0.103808 0.117893 0.133903 0.152109 0.172822 0.196403 0.223269 0.253910 0.288902 0.328933 0.374828 0.427598 0.488492 0.559096 0.641459 0.738300 0.853333 0.991796 1.161360 1.373727 1.647641 2.014814 2.532281 3.308943 4.559316 6.670884 10.000000 
0.000000 0.000003 0.000006 0.000009 0.000012 0.000015 0.000019 0.000023 0.000027 0.000032 0.000037 0.000043 0.000049 0.000056 0.000064 0.000074 0.000084 0.000096 0.000109 0.000124 0.000141 0.000161 0.000183 0.000207 0.000236 0.000268 0.000304 0.000345 0.000392 0.000445 0.000505 0.000574 0.000651 0.000739 0.000839 0.000953 0.001082 0.001228 0.001395 0.001583 0.001797 0.002040 0.002316 0.002630 0.002985 0.003389 0.003847 0.004368 0.004959 0.005629 0.006390 0.007255 0.008236 0.009350 0.010614 0.012050 0.013679 0.015529 0.017630 0.020014 0.022721 0.025794 0.029283 0.033244 0.037741 0.042847 0.048644 0.055226 0.062700 0.071187 0.080825 0.091772 0.104207 0.118335 0.134389 0.152638 0.173390 0.196998 0.223872 0.254488 0.289402 0.329270 0.374871 0.427141 0.487222 0.556529 0.636847 0.730480 0.840475 0.970975 1.127795 1.319383 1.558510 1.865344 2.273313 2.840653 3.673059 4.962296 7.009808 10.000000 
0.000000 0.000003 0.000006 0.000010 0.000013 0.000017 0.000021 0.000025 0.000030 0.000035 0.000041 0.000048 0.000055 0.000063 0.000072 0.000083 0.000094 0.000108 0.000122 0.000139 0.000158 0.000180 0.000205 0.000233 0.000264 0.000300 0.000341 0.000387 0.000440 0.000499 0.000567 0.000644 0.000731 0.000829 0.000942 0.001069 0.001214 0.001378 0.001564 0.001776 0.002016 0.002289 0.002598 0.002950 0.003349 0.003802 0.004316 0.004900 0.005562 0.006315 0.007169 0.008138 0.009239 0.010488 0.011907 0.013517 0.015345 0.017420 0.019777 0.022451 0.025488 0.028935 0.032849 0.037292 0.042337 0.048064 0.054567 0.061951 0.070335 0.079855 0.090667 0.102946 0.116895 0.132742 0.150749 0.171218 0.194492 0.220969 0.251106 0.285438 0.324585 0.369280 0.420392 0.478965 0.546270 0.623877 0.713765 0.818478 0.941368 1.086973 1.261620 1.474435 1.739062 2.076727 2.521851 3.132458 4.008623 5.317885 7.289815 10.000000 
