-0.000000 -0.004775 -0.017275 -0.032725 -0.045225 -0.050000 -0.045225 -0.032725 -0.017275 -0.004775 0.000000 0.004775 0.017275 0.032725 0.045225 0.050000 0.045225 0.032725 0.017275 0.004775 0.000000 
518290558211853293453312.000000 10584469020892499829325824.000000 -21120066218.317368 21136069061511.457031 -127616654882.697403 18854075968859.847656 311241865212804781427392512.000000 2827544339895924817920.000000 373.840228 -149578568489088123470444639685705728.000000 378.347208 3175363162155459072.000000 2036541183480621.750000 2937915023469226496.000000 14174979824039369900032.000000 14476736681936871424.000000 419757961876266483712.000000 1834674742602296832.000000 108214790730767972593303552.000000 1368051781971515136.000000 518290558211853293453312.000000 
514296144261456594993152.000000 7419674554471767500390400.000000 -227560218383.776886 12318240114625.716797 -480420806209.414978 10263720164796.705078 307864073916165443201007616.000000 -517434517719951409152.000000 377.303016 -357337975098545761491438219579883520.000000 379.981541 2723455182930826752.000000 547811024176891.875000 2688718307091185152.000000 14156627332263453917184.000000 14306666400777574400.000000 344017846821284020224.000000 1832241927581113856.000000 103352007123563531349262336.000000 1367168485568264448.000000 514296144261456594993152.000000 
500067776151751304937472.000000 3985755468049749152628736.000000 -450948582635.979065 3052286308178.748047 -847296876273.136963 1223695818255.901367 298326584926720090796195840.000000 -3977331621463519657984.000000 371.846089 -567787178801754334724913149069230080.000000 373.398958 2200712687759600384.000000 -1009963144685234.375000 2377262219442963968.000000 13860106017631283183616.000000 13849554484386664448.000000 258606583488370343936.000000 1794068448956494080.000000 96284519569701780703936512.000000 1339546835004361472.000000 500067776151751304937472.000000 
475780033124972053397504.000000 284057553473482302423040.000000 -718992805380.077026 -6617603411979.998047 -1250438658903.545654 -8223178557524.235352 282655940455910904759844864.000000 -7548411334348012257280.000000 355.546229 -783344280856781753698288136865447936.000000 356.061796 1608177985969639680.000000 -2636029195092539.000000 2004441144270106368.000000 13287477319905579106304.000000 13108271059246905344.000000 163656160712705343488.000000 1720499490196318208.000000 87036142994770157803405312.000000 1285372686685463552.000000 475780033124972053397504.000000 
430895214807347462406144.000000 -3978350971769034935107584.000000 -1183778749518.235596 -17099954061198.511719 -1810048931474.280762 -18494573536524.648438 254100658512218259491651584.000000 -11349469216313981272064.000000 322.292049 -1016509677218314855487140185738575872.000000 321.738470 870623273963148672.000000 -4403996648117020.500000 1504118584744133632.000000 12140644402202106920960.000000 11776674394235944960.000000 48892282920475213824.000000 1573174756288552960.000000 73219680840252270661599232.000000 1175892370297004288.000000 430895214807347462406144.000000 
376677626839202655109120.000000 -8501788104917315229843456.000000 -1818713059429.403564 -27957263403588.425781 -2512148074521.060547 -29148839264174.808594 219515761790758161926324224.000000 -15259474321045530345472.000000 281.997809 -1262268645103400600726447523675242496.000000 281.373263 66009922384466352.000000 -6237513972170585.000000 944860051110493952.000000 10727216510044846686208.000000 10172632368660097024.000000 -75035845948112797696.000000 1391050258461516544.000000 57271174345676211028492288.000000 1040439541728231936.000000 376677626839202655109120.000000 
322583031842100782039040.000000 -13020300315066438934069248.000000 -2449168223233.257812 -38803821433015.500000 -3187682040549.286133 -39798627111836.695312 185022177295553633772896256.000000 -19167188779163042447360.000000 242.876266 -1508735030341978150018501134388297728.000000 242.265172 -737697690333056512.000000 -8070121343535625.000000 386400840028178240.000000 9317904055760843702272.000000 8572514295745513472.000000 -198837716079644213248.000000 1209455454947128320.000000 41351296877111235122823168.000000 905391693149518592.000000 322583031842100782039040.000000 
267165207873013157986304.000000 -17625251959212959103713280.000000 -3163536762696.854980 -49685199910763.437500 -3898705448869.178711 -50498136687645.554688 149481203921480372595982336.000000 -23112315565009757274112.000000 202.893491 -1763004680662719028718526243870343168.000000 202.420033 -1551712326721807872.000000 -9913013067886808.000000 -181136519208110144.000000 7864118037097404694528.000000 6928939144080360448.000000 -324084254203621343232.000000 1021829731020093312.000000 25097754303511444183842816.000000 765865087741062144.000000 267165207873013157986304.000000 
213974710888669634363392.000000 -21950787440777633216856064.000000 -3661236642202.395508 -60372488180319.414062 -4275709793770.259766 -61070278269748.984375 115898545448790729391341568.000000 -26933502301978274824192.000000 164.571930 -1994975257545257404932239354432061440.000000 164.225759 -2342106607423116800.000000 -11733196501650408.000000 -728216909887331072.000000 6468400459508638285824.000000 5364061634974769152.000000 -445783431372784861184.000000 843410870668347904.000000 9591607229451215707308032.000000 632271421713960576.000000 213974710888669634363392.000000 
