0.000000 0.000034 0.000135 0.000303 0.000537 0.000836 0.001199 0.001624 0.002108 0.002649 0.003245 0.003893 0.004590 0.005331 0.006113 0.006933 0.007786 0.008667 0.009573 0.010497 0.011436 0.012384 0.013336 0.014287 0.015231 0.016164 0.017080 0.017975 0.018842 0.019677 0.020476 0.021233 0.021944 0.022606 0.023214 0.023766 0.024257 0.024686 0.025050 0.025348 0.025577 0.025737 0.025829 0.025851 0.025805 0.025692 0.025513 0.025271 0.024968 0.024609 0.024195 0.023732 0.023224 0.022676 0.022094 0.021436 0.020628 0.019679 0.018599 0.017398 0.016089 0.014682 0.013190 0.011625 0.010000 0.008327 0.006621 0.004893 0.003157 0.001427 -0.000284 -0.001964 -0.003599 -0.005176 -0.006682 -0.008104 -0.009431 -0.010649 -0.011747 -0.012714 -0.013537 -0.014208 -0.014714 -0.015046 -0.015195 -0.015151 -0.014907 -0.014454 -0.013785 -0.012894 -0.011774 -0.010420 -0.008827 -0.006992 -0.004911 -0.002581 0.000000 0.002795 0.005766 0.008912 0.012231 0.015718 0.019367 0.023172 0.027125 0.031214 0.035431 0.039762 0.044194 0.048714 0.053306 0.057953 0.062640 0.067348 0.072059 0.076754 0.081414 0.086019 0.090550 0.094987 0.099310 0.103499 0.107535 0.111398 0.115071 0.118535 0.121772 0.124765 0.127500 0.129961 0.132134 0.134007 0.135568 0.136807 0.137714 0.138283 0.138507 0.138381 0.137903 0.137171 0.136239 0.135112 0.133792 0.132282 0.130587 0.128712 0.126661 0.124440 0.122056 0.119516 0.116827 0.113997 0.111032 0.107944 0.104739 0.101427 0.098018 0.094522 0.090948 0.087308 0.083611 0.079869 0.076093 0.072293 0.068481 0.064668 0.060867 0.057087 0.053342 0.049641 0.045998 0.042422 0.038925 0.035519 0.032213 0.029019 0.025946 0.023005 0.020205 0.017556 0.015065 0.012742 0.010594 0.008627 0.006850 0.005267 0.003884 0.002706 0.001736 0.000978 0.000435 0.000109 -0.000000 
-0.001481 -0.003895 -0.006005 -0.007782 -0.009244 -0.010433 -0.011392 -0.012158 -0.012760 -0.013219 -0.013554 -0.013779 -0.013904 -0.013941 -0.013897 -0.013782 -0.013602 -0.013364 -0.013076 -0.012744 -0.012375 -0.011974 -0.011549 -0.011104 -0.010645 -0.010179 -0.009710 -0.009243 -0.008785 -0.008338 -0.007908 -0.007500 -0.007116 -0.006761 -0.006439 -0.006152 -0.005903 -0.005695 -0.005529 -0.005408 -0.005333 -0.005305 -0.005324 -0.005391 -0.005506 -0.005669 -0.005878 -0.006133 -0.006433 -0.006776 -0.007163 -0.007592 -0.008063 -0.008580 -0.009147 -0.009778 -0.010487 -0.011280 -0.012157 -0.013114 -0.014145 -0.015242 -0.016397 -0.017599 -0.018839 -0.020105 -0.021386 -0.022670 -0.023945 -0.025198 -0.026418 -0.027591 -0.028704 -0.029745 -0.030700 -0.031556 -0.032299 -0.032917 -0.033397 -0.033724 -0.033887 -0.033870 -0.033662 -0.033249 -0.032617 -0.031753 -0.030642 -0.029272 -0.027628 -0.025695 -0.023460 -0.020910 -0.018035 -0.014829 -0.011294 -0.007441 -0.003295 0.001108 0.005726 0.010520 0.015459 0.020516 0.025671 0.030910 0.036221 0.041595 0.047023 0.052495 0.058002 0.063533 0.069077 0.074621 0.080151 0.085653 0.091111 0.096510 0.101833 0.107063 0.112182 0.117172 0.122016 0.126697 0.131196 0.135496 0.139580 0.143431 0.147035 0.150376 0.153440 0.156214 0.158686 0.160845 0.162683 0.164191 0.165365 0.166201 0.166700 0.166867 0.166714 0.166273 0.165571 0.164626 0.163448 0.162047 0.160430 0.158604 0.156576 0.154354 0.151945 0.149356 0.146596 0.143674 0.140598 0.137377 0.134021 0.130539 0.126941 0.123238 0.119441 0.115558 0.111603 0.107584 0.103514 0.099403 0.095262 0.091102 0.086933 0.082768 0.078615 0.074485 0.070387 0.066332 0.062329 0.058385 0.054508 0.050707 0.046987 0.043355 0.039815 0.036370 0.033024 0.029777 0.026629 0.023576 0.020612 0.017726 0.014905 0.012129 0.009377 0.006628 0.003875 0.001146 -0.001481 
-0.003770 -0.008220 -0.012323 -0.016012 -0.019267 -0.022103 -0.024557 -0.026670 -0.028487 -0.030045 -0.031380 -0.032519 -0.033487 -0.034306 -0.034992 -0.035561 -0.036026 -0.036400 -0.036693 -0.036915 -0.037074 -0.037179 -0.037238 -0.037257 -0.037243 -0.037202 -0.037141 -0.037063 -0.036975 -0.036882 -0.036787 -0.036694 -0.036608 -0.036532 -0.036470 -0.036424 -0.036396 -0.036390 -0.036407 -0.036449 -0.036517 -0.036613 -0.036738 -0.036892 -0.037076 -0.037289 -0.037533 -0.037807 -0.038112 -0.038446 -0.038812 -0.039209 -0.039639 -0.040105 -0.040610 -0.041159 -0.041756 -0.042404 -0.043103 -0.043851 -0.044643 -0.045476 -0.046341 -0.047230 -0.048136 -0.049049 -0.049958 -0.050853 -0.051723 -0.052555 -0.053338 -0.054059 -0.054705 -0.055263 -0.055718 -0.056058 -0.056267 -0.056330 -0.056233 -0.055958 -0.055492 -0.054815 -0.053912 -0.052763 -0.051351 -0.049655 -0.047656 -0.045332 -0.042662 -0.039628 -0.036209 -0.032390 -0.028164 -0.023528 -0.018493 -0.013083 -0.007334 -0.001294 0.004983 0.011443 0.018035 0.024716 0.031450 0.038211 0.044979 0.051740 0.058482 0.065197 0.071875 0.078510 0.085092 0.091613 0.098062 0.104429 0.110700 0.116864 0.122907 0.128814 0.134571 0.140161 0.145571 0.150783 0.155783 0.160555 0.165083 0.169354 0.173353 0.177068 0.180484 0.183593 0.186382 0.188845 0.190972 0.192760 0.194205 0.195307 0.196067 0.196492 0.196592 0.196384 0.195882 0.195103 0.194058 0.192757 0.191209 0.189425 0.187412 0.185179 0.182734 0.180086 0.177244 0.174217 0.171015 0.167647 0.164123 0.160455 0.156651 0.152722 0.148680 0.144535 0.140298 0.135979 0.131589 0.127140 0.122641 0.118103 0.113536 0.108949 0.104351 0.099751 0.095158 0.090577 0.086015 0.081479 0.076971 0.072496 0.068055 0.063648 0.059274 0.054929 0.050606 0.046299 0.041995 0.037680 0.033336 0.028943 0.024481 0.019929 0.015277 0.010530 0.005721 0.000918 -0.003770 
-0.006538 -0.012855 -0.018812 -0.024326 -0.029352 -0.033877 -0.037915 -0.041498 -0.044664 -0.047455 -0.049913 -0.052077 -0.053982 -0.055659 -0.057135 -0.058435 -0.059579 -0.060586 -0.061472 -0.062251 -0.062937 -0.063540 -0.064070 -0.064538 -0.064950 -0.065314 -0.065638 -0.065926 -0.066186 -0.066421 -0.066638 -0.066839 -0.067029 -0.067211 -0.067389 -0.067566 -0.067744 -0.067925 -0.068112 -0.068307 -0.068510 -0.068724 -0.068950 -0.069189 -0.069441 -0.069708 -0.069989 -0.070286 -0.070599 -0.070930 -0.071277 -0.071644 -0.072031 -0.072440 -0.072872 -0.073329 -0.073814 -0.074325 -0.074863 -0.075426 -0.076009 -0.076609 -0.077220 -0.077834 -0.078445 -0.079043 -0.079619 -0.080164 -0.080666 -0.081113 -0.081494 -0.081795 -0.082003 -0.082104 -0.082083 -0.081923 -0.081609 -0.081123 -0.080447 -0.079561 -0.078447 -0.077083 -0.075446 -0.073513 -0.071261 -0.068663 -0.065695 -0.062331 -0.058546 -0.054318 -0.049629 -0.044466 -0.038825 -0.032713 -0.026150 -0.019168 -0.011814 -0.004143 0.003783 0.011899 0.020143 0.028460 0.036804 0.045135 0.053425 0.061651 0.069796 0.077847 0.085796 0.093633 0.101353 0.108947 0.116407 0.123727 0.130896 0.137904 0.144742 0.151397 0.157858 0.164111 0.170144 0.175943 0.181494 0.186785 0.191803 0.196534 0.200966 0.205088 0.208890 0.212361 0.215494 0.218281 0.220717 0.222798 0.224522 0.225890 0.226904 0.227570 0.227896 0.227892 0.227570 0.226941 0.226016 0.224806 0.223321 0.221571 0.219564 0.217311 0.214820 0.212102 0.209166 0.206021 0.202679 0.199149 0.195441 0.191566 0.187536 0.183360 0.179050 0.174616 0.170069 0.165420 0.160679 0.155857 0.150962 0.146005 0.140994 0.135938 0.130844 0.125718 0.120566 0.115392 0.110200 0.104991 0.099766 0.094522 0.089256 0.083962 0.078632 0.073255 0.067818 0.062305 0.056698 0.050977 0.045122 0.039114 0.032939 0.026591 0.020080 0.013438 0.006725 0.000029 -0.006538 
-0.009599 -0.017685 -0.025408 -0.032683 -0.039447 -0.045669 -0.051341 -0.056476 -0.061101 -0.065252 -0.068969 -0.072293 -0.075263 -0.077918 -0.080292 -0.082417 -0.084322 -0.086032 -0.087568 -0.088952 -0.090200 -0.091329 -0.092352 -0.093281 -0.094127 -0.094900 -0.095609 -0.096260 -0.096861 -0.097417 -0.097936 -0.098420 -0.098875 -0.099305 -0.099713 -0.100102 -0.100476 -0.100836 -0.101186 -0.101527 -0.101861 -0.102191 -0.102516 -0.102839 -0.103160 -0.103481 -0.103803 -0.104127 -0.104453 -0.104783 -0.105117 -0.105456 -0.105802 -0.106154 -0.106514 -0.106883 -0.107259 -0.107643 -0.108033 -0.108427 -0.108820 -0.109210 -0.109589 -0.109952 -0.110291 -0.110598 -0.110864 -0.111078 -0.111229 -0.111306 -0.111295 -0.111182 -0.110953 -0.110592 -0.110082 -0.109404 -0.108540 -0.107470 -0.106171 -0.104622 -0.102797 -0.100671 -0.098218 -0.095409 -0.092217 -0.088613 -0.084567 -0.080054 -0.075048 -0.069529 -0.063482 -0.056900 -0.049788 -0.042160 -0.034043 -0.025478 -0.016517 -0.007222 0.002339 0.012097 0.021985 0.031939 0.041903 0.051830 0.061681 0.071427 0.081042 0.090509 0.099815 0.108949 0.117902 0.126668 0.135239 0.143610 0.151771 0.159717 0.167439 0.174927 0.182173 0.189165 0.195893 0.202347 0.208514 0.214384 0.219947 0.225190 0.230104 0.234679 0.238906 0.242778 0.246287 0.249428 0.252197 0.254591 0.256609 0.258253 0.259524 0.260428 0.260970 0.261160 0.261007 0.260519 0.259708 0.258582 0.257153 0.255430 0.253422 0.251141 0.248596 0.245796 0.242754 0.239478 0.235979 0.232268 0.228357 0.224255 0.219973 0.215523 0.210916 0.206161 0.201270 0.196252 0.191118 0.185877 0.180538 0.175108 0.169596 0.164007 0.158347 0.152620 0.146830 0.140976 0.135060 0.129078 0.123026 0.116898 0.110685 0.104376 0.097958 0.091414 0.084728 0.077880 0.070850 0.063620 0.056174 0.048502 0.040601 0.032482 0.024176 0.015731 0.007221 -0.001259 -0.009599 
-0.012815 -0.022605 -0.032039 -0.041029 -0.049505 -0.057422 -0.064756 -0.071504 -0.077676 -0.083298 -0.088401 -0.093022 -0.097200 -0.100975 -0.104385 -0.107466 -0.110252 -0.112774 -0.115060 -0.117135 -0.119023 -0.120744 -0.122316 -0.123755 -0.125075 -0.126290 -0.127410 -0.128444 -0.129403 -0.130294 -0.131123 -0.131898 -0.132623 -0.133302 -0.133942 -0.134545 -0.135115 -0.135655 -0.136168 -0.136656 -0.137122 -0.137568 -0.137994 -0.138404 -0.138798 -0.139178 -0.139544 -0.139899 -0.140243 -0.140576 -0.140900 -0.141215 -0.141522 -0.141821 -0.142112 -0.142395 -0.142668 -0.142930 -0.143179 -0.143412 -0.143624 -0.143812 -0.143969 -0.144088 -0.144162 -0.144181 -0.144137 -0.144018 -0.143812 -0.143505 -0.143085 -0.142534 -0.141837 -0.140975 -0.139930 -0.138679 -0.137201 -0.135473 -0.133469 -0.131163 -0.128526 -0.125530 -0.122145 -0.118340 -0.114085 -0.109349 -0.104104 -0.098325 -0.091990 -0.085083 -0.077595 -0.069526 -0.060889 -0.051705 -0.042008 -0.031846 -0.021274 -0.010358 0.000833 0.012226 0.023749 0.035337 0.046926 0.058464 0.069904 0.081208 0.092346 0.103293 0.114031 0.124544 0.134822 0.144854 0.154635 0.164156 0.173411 0.182393 0.191096 0.199513 0.207635 0.215454 0.222963 0.230152 0.237012 0.243534 0.249709 0.255528 0.260984 0.266067 0.270771 0.275090 0.279018 0.282552 0.285687 0.288422 0.290758 0.292695 0.294236 0.295386 0.296150 0.296535 0.296550 0.296202 0.295501 0.294457 0.293080 0.291379 0.289365 0.287048 0.284438 0.281546 0.278383 0.274959 0.271286 0.267374 0.263234 0.258878 0.254315 0.249558 0.244616 0.239500 0.234220 0.228785 0.223205 0.217487 0.211640 0.205670 0.199582 0.193381 0.187069 0.180650 0.174122 0.167483 0.160730 0.153857 0.146855 0.139715 0.132424 0.124967 0.117328 0.109490 0.101434 0.093143 0.084599 0.075789 0.066706 0.057350 0.047733 0.037880 0.027833 0.017654 0.007421 -0.002770 -0.012815 
-0.016076 -0.027532 -0.038641 -0.049316 -0.059486 -0.069096 -0.078112 -0.086515 -0.094303 -0.101487 -0.108088 -0.114136 -0.119662 -0.124705 -0.129300 -0.133487 -0.137300 -0.140774 -0.143941 -0.146832 -0.149473 -0.151890 -0.154104 -0.156137 -0.158007 -0.159729 -0.161319 -0.162788 -0.164150 -0.165413 -0.166588 -0.167681 -0.168700 -0.169652 -0.170542 -0.171375 -0.172156 -0.172888 -0.173576 -0.174221 -0.174828 -0.175398 -0.175934 -0.176438 -0.176911 -0.177356 -0.177773 -0.178164 -0.178530 -0.178871 -0.179189 -0.179482 -0.179752 -0.179998 -0.180219 -0.180415 -0.180583 -0.180721 -0.180826 -0.180894 -0.180920 -0.180900 -0.180825 -0.180688 -0.180482 -0.180195 -0.179817 -0.179335 -0.178736 -0.178006 -0.177127 -0.176082 -0.174853 -0.173418 -0.171756 -0.169842 -0.167652 -0.165158 -0.162334 -0.159148 -0.155572 -0.151573 -0.147120 -0.142182 -0.136728 -0.130730 -0.124162 -0.117002 -0.109233 -0.100846 -0.091839 -0.082219 -0.072006 -0.061227 -0.049923 -0.038144 -0.025950 -0.013406 -0.000584 0.012444 0.025604 0.038827 0.052049 0.065211 0.078262 0.091157 0.103860 0.116340 0.128573 0.140539 0.152223 0.163611 0.174695 0.185465 0.195913 0.206034 0.215821 0.225267 0.234365 0.243109 0.251493 0.259508 0.267148 0.274405 0.281272 0.287743 0.293811 0.299469 0.304712 0.309535 0.313934 0.317907 0.321451 0.324565 0.327251 0.329509 0.331343 0.332756 0.333756 0.334346 0.334536 0.334334 0.333747 0.332785 0.331459 0.329777 0.327751 0.325390 0.322706 0.319708 0.316409 0.312818 0.308948 0.304808 0.300411 0.295767 0.290886 0.285780 0.280457 0.274929 0.269205 0.263292 0.257199 0.250934 0.244501 0.237906 0.231153 0.224244 0.217179 0.209959 0.202579 0.195035 0.187321 0.179429 0.171346 0.163061 0.154560 0.145827 0.136845 0.127598 0.118070 0.108248 0.098119 0.087681 0.076933 0.065888 0.054568 0.043009 0.031263 0.019396 0.007488 -0.004369 -0.016076 
-0.019294 -0.032397 -0.045165 -0.057513 -0.069369 -0.080676 -0.091390 -0.101483 -0.110940 -0.119760 -0.127954 -0.135539 -0.142542 -0.148992 -0.154923 -0.160368 -0.165365 -0.169947 -0.174149 -0.178003 -0.181539 -0.184786 -0.187769 -0.190514 -0.193041 -0.195371 -0.197522 -0.199511 -0.201350 -0.203055 -0.204636 -0.206104 -0.207468 -0.208736 -0.209916 -0.211015 -0.212038 -0.212991 -0.213879 -0.214704 -0.215472 -0.216185 -0.216847 -0.217459 -0.218024 -0.218544 -0.219021 -0.219455 -0.219847 -0.220199 -0.220511 -0.220782 -0.221012 -0.221200 -0.221345 -0.221444 -0.221496 -0.221496 -0.221440 -0.221325 -0.221143 -0.220887 -0.220551 -0.220125 -0.219598 -0.218959 -0.218196 -0.217295 -0.216239 -0.215012 -0.213595 -0.211969 -0.210112 -0.208000 -0.205609 -0.202913 -0.199884 -0.196493 -0.192709 -0.188503 -0.183842 -0.178695 -0.173030 -0.166818 -0.160030 -0.152641 -0.144629 -0.135979 -0.126680 -0.116728 -0.106129 -0.094897 -0.083057 -0.070643 -0.057699 -0.044278 -0.030440 -0.016252 -0.001785 0.012889 0.027696 0.042567 0.057435 0.072240 0.086925 0.101442 0.115750 0.129811 0.143597 0.157083 0.170247 0.183074 0.195549 0.207662 0.219403 0.230764 0.241737 0.252316 0.262495 0.272267 0.281626 0.290566 0.299082 0.307167 0.314815 0.322022 0.328782 0.335091 0.340944 0.346338 0.351271 0.355739 0.359744 0.363284 0.366360 0.368976 0.371134 0.372838 0.374095 0.374909 0.375289 0.375242 0.374776 0.373902 0.372627 0.370963 0.368919 0.366507 0.363736 0.360617 0.357162 0.353381 0.349286 0.344888 0.340197 0.335224 0.329979 0.324472 0.318714 0.312712 0.306475 0.300012 0.293327 0.286429 0.279319 0.272003 0.264482 0.256755 0.248823 0.240682 0.232326 0.223750 0.214946 0.205902 0.196607 0.187048 0.177212 0.167083 0.156647 0.145892 0.134806 0.123381 0.111614 0.099508 0.087075 0.074335 0.061319 0.048071 0.034647 0.021116 0.007556 -0.005945 -0.019294 
-0.022401 -0.037155 -0.051584 -0.065609 -0.079159 -0.092174 -0.104606 -0.116420 -0.127591 -0.138109 -0.147974 -0.157193 -0.165783 -0.173766 -0.181169 -0.188022 -0.194356 -0.200205 -0.205602 -0.210580 -0.215169 -0.219400 -0.223301 -0.226901 -0.230222 -0.233289 -0.236123 -0.238742 -0.241166 -0.243409 -0.245487 -0.247412 -0.249196 -0.250851 -0.252385 -0.253807 -0.255125 -0.256346 -0.257476 -0.258519 -0.259482 -0.260368 -0.261180 -0.261923 -0.262598 -0.263209 -0.263756 -0.264242 -0.264667 -0.265031 -0.265335 -0.265579 -0.265760 -0.265878 -0.265930 -0.265913 -0.265825 -0.265659 -0.265411 -0.265074 -0.264642 -0.264105 -0.263455 -0.262680 -0.261769 -0.260708 -0.259482 -0.258076 -0.256470 -0.254648 -0.252586 -0.250264 -0.247657 -0.244740 -0.241486 -0.237867 -0.233854 -0.229417 -0.224525 -0.219146 -0.213250 -0.206807 -0.199786 -0.192162 -0.183910 -0.175008 -0.165442 -0.155201 -0.144280 -0.132684 -0.120423 -0.107518 -0.094000 -0.079905 -0.065280 -0.050181 -0.034668 -0.018807 -0.002669 0.013675 0.030153 0.046696 0.063236 0.079711 0.096062 0.112238 0.128192 0.143884 0.159279 0.174346 0.189062 0.203405 0.217357 0.230903 0.244031 0.256731 0.268993 0.280810 0.292174 0.303079 0.313519 0.323488 0.332981 0.341993 0.350519 0.358555 0.366096 0.373140 0.379683 0.385723 0.391259 0.396289 0.400814 0.404835 0.408352 0.411369 0.413890 0.415919 0.417462 0.418524 0.419114 0.419238 0.418905 0.418124 0.416904 0.415257 0.413190 0.410716 0.407844 0.404586 0.400952 0.396954 0.392601 0.387905 0.382877 0.377526 0.371862 0.365896 0.359634 0.353087 0.346260 0.339162 0.331796 0.324167 0.316280 0.308134 0.299731 0.291070 0.282148 0.272960 0.263501 0.253762 0.243736 0.233412 0.222778 0.211823 0.200535 0.188903 0.176915 0.164564 0.151845 0.138756 0.125302 0.111495 0.097353 0.082903 0.068185 0.053247 0.038146 0.022951 0.007739 -0.007407 -0.022401 
-0.025344 -0.041772 -0.057887 -0.073613 -0.088880 -0.103629 -0.117809 -0.131379 -0.144310 -0.156582 -0.168186 -0.179121 -0.189395 -0.199021 -0.208020 -0.216414 -0.224230 -0.231498 -0.238247 -0.244508 -0.250313 -0.255691 -0.260672 -0.265283 -0.269553 -0.273505 -0.277164 -0.280551 -0.283688 -0.286592 -0.289281 -0.291771 -0.294077 -0.296210 -0.298184 -0.300009 -0.301694 -0.303248 -0.304679 -0.305994 -0.307199 -0.308300 -0.309300 -0.310204 -0.311015 -0.311737 -0.312371 -0.312918 -0.313380 -0.313757 -0.314049 -0.314254 -0.314371 -0.314398 -0.314332 -0.314168 -0.313902 -0.313528 -0.313039 -0.312427 -0.311684 -0.310799 -0.309761 -0.308558 -0.307175 -0.305597 -0.303807 -0.301787 -0.299518 -0.296977 -0.294142 -0.290990 -0.287493 -0.283626 -0.279361 -0.274668 -0.269519 -0.263881 -0.257726 -0.251024 -0.243745 -0.235862 -0.227348 -0.218182 -0.208342 -0.197815 -0.186590 -0.174662 -0.162033 -0.148714 -0.134722 -0.120081 -0.104825 -0.088995 -0.072641 -0.055816 -0.038583 -0.021007 -0.003157 0.014899 0.033087 0.051341 0.069592 0.087777 0.105836 0.123716 0.141365 0.158741 0.175804 0.192519 0.208857 0.224793 0.240303 0.255371 0.269980 0.284116 0.297768 0.310926 0.323581 0.335726 0.347353 0.358457 0.369033 0.379075 0.388579 0.397541 0.405959 0.413829 0.421149 0.427917 0.434133 0.439798 0.444910 0.449472 0.453487 0.456957 0.459886 0.462280 0.464143 0.465483 0.466306 0.466620 0.466434 0.465756 0.464596 0.462963 0.460868 0.458321 0.455332 0.451913 0.448073 0.443823 0.439175 0.434137 0.428721 0.422936 0.416792 0.410296 0.403458 0.396283 0.388780 0.380953 0.372807 0.364345 0.355569 0.346479 0.337077 0.327358 0.317320 0.306959 0.296267 0.285238 0.273864 0.262135 0.250043 0.237578 0.224731 0.211495 0.197866 0.183839 0.169417 0.154606 0.139416 0.123866 0.107981 0.091796 0.075352 0.058701 0.041902 0.025022 0.008135 -0.008681 -0.025344 
