1.189063 0.543823 0.455832 0.369912 0.292214 0.225095 0.174833 0.159178 -0.155971 -0.641153 -0.825676 -0.831886 -0.808371 -0.769592 -0.720662 -0.663891 -0.600302 -0.530085 -0.452858 -0.357251 -0.259027 -0.175896 -0.094581 -0.012905 0.069634 0.153618 0.239871 0.329635 0.423814 0.517624 1.189063 0.517624 0.423814 0.329635 0.239871 0.153618 0.069634 -0.012905 -0.094581 -0.175896 -0.259027 -0.357251 -0.452858 -0.530085 -0.600302 -0.663891 -0.720662 -0.769592 -0.808371 -0.831886 -0.825676 -0.641153 -0.155971 0.159178 0.174833 0.225095 0.292214 0.369912 0.455832 0.543823 1.189063 
0.533393 0.511516 0.448210 0.373220 0.301923 0.238932 0.187975 0.155377 -0.082823 -0.536229 -0.755987 -0.758819 -0.733845 -0.694484 -0.645899 -0.590467 -0.529354 -0.463298 -0.388154 -0.296007 -0.206069 -0.129803 -0.054699 0.020595 0.096627 0.173999 0.253509 0.335742 0.418152 0.485706 0.508555 0.485706 0.418152 0.335742 0.253509 0.173999 0.096627 0.020595 -0.054699 -0.129803 -0.206069 -0.296007 -0.388154 -0.463298 -0.529354 -0.590467 -0.645899 -0.694484 -0.733845 -0.758819 -0.755987 -0.536229 -0.082823 0.155377 0.187975 0.238932 0.301923 0.373220 0.448210 0.511516 0.533393 
0.396334 0.392680 0.374937 0.339118 0.290731 0.237521 0.184675 0.132117 0.039446 -0.331929 -0.656578 -0.688100 -0.667489 -0.629214 -0.581154 -0.526380 -0.466409 -0.403054 -0.324299 -0.235149 -0.157092 -0.086188 -0.016574 0.052471 0.120872 0.187830 0.251108 0.305947 0.345167 0.364047 0.367824 0.364047 0.345167 0.305947 0.251108 0.187830 0.120872 0.052471 -0.016574 -0.086188 -0.157092 -0.235149 -0.324299 -0.403054 -0.466409 -0.526380 -0.581154 -0.629214 -0.667489 -0.688100 -0.656578 -0.331929 0.039446 0.132117 0.184675 0.237521 0.290731 0.339118 0.374937 0.392680 0.396334 
0.304116 0.302869 0.297076 0.282437 0.256407 0.219984 0.176053 0.126398 0.065843 -0.133377 -0.455038 -0.604291 -0.602751 -0.568878 -0.522504 -0.468816 -0.410497 -0.342034 -0.261373 -0.182682 -0.112723 -0.047330 0.015781 0.076312 0.132942 0.183327 0.224281 0.252884 0.268629 0.274745 0.276047 0.274745 0.268629 0.252884 0.224281 0.183327 0.132942 0.076312 0.015781 -0.047330 -0.112723 -0.182682 -0.261373 -0.342034 -0.410497 -0.468816 -0.522504 -0.568878 -0.602751 -0.604291 -0.455038 -0.133377 0.065843 0.126398 0.176053 0.219984 0.256407 0.282437 0.297076 0.302869 0.304116 
0.234781 0.234262 0.231923 0.225560 0.212343 0.190183 0.158444 0.117132 0.064272 -0.026409 -0.242651 -0.462973 -0.528656 -0.509607 -0.467750 -0.416256 -0.354971 -0.282397 -0.207115 -0.137837 -0.074824 -0.016192 0.038328 0.087593 0.129831 0.163172 0.186485 0.200276 0.206843 0.209238 0.209769 0.209238 0.206843 0.200276 0.186485 0.163172 0.129831 0.087593 0.038328 -0.016192 -0.074824 -0.137837 -0.207115 -0.282397 -0.354971 -0.416256 -0.467750 -0.509607 -0.528656 -0.462973 -0.242651 -0.026409 0.064272 0.117132 0.158444 0.190183 0.212343 0.225560 0.231923 0.234262 0.234781 
0.180707 0.180475 0.179405 0.176347 0.169424 0.156399 0.135254 0.104392 0.061786 -0.000701 -0.109517 -0.288720 -0.423726 -0.444544 -0.414342 -0.364614 -0.300077 -0.229346 -0.162218 -0.100785 -0.045019 0.005397 0.049813 0.087050 0.116061 0.136515 0.149192 0.155891 0.158813 0.159819 0.160034 0.159819 0.158813 0.155891 0.149192 0.136515 0.116061 0.087050 0.049813 0.005397 -0.045019 -0.100785 -0.162218 -0.229346 -0.300077 -0.364614 -0.414342 -0.444544 -0.423726 -0.288720 -0.109517 -0.000701 0.061786 0.104392 0.135254 0.156399 0.169424 0.176347 0.179405 0.180475 0.180707 
0.138181 0.138080 0.137568 0.135991 0.132183 0.124470 0.110849 0.089227 0.057340 0.011219 -0.058930 -0.167514 -0.294865 -0.363625 -0.357599 -0.312000 -0.248911 -0.185114 -0.125549 -0.071619 -0.023701 0.017788 0.052141 0.078801 0.097810 0.110013 0.116916 0.120267 0.121606 0.122010 0.122082 0.122010 0.121606 0.120267 0.116916 0.110013 0.097810 0.078801 0.052141 0.017788 -0.023701 -0.071619 -0.125549 -0.185114 -0.248911 -0.312000 -0.357599 -0.363625 -0.294865 -0.167514 -0.058930 0.011219 0.057340 0.089227 0.110849 0.124470 0.132183 0.135991 0.137568 0.138080 0.138181 
0.104904 0.104866 0.104630 0.103795 0.101625 0.096969 0.088254 0.073560 0.050701 0.016898 -0.032486 -0.104473 -0.196775 -0.273031 -0.292356 -0.259278 -0.204326 -0.148183 -0.096128 -0.049781 -0.009891 0.023006 0.048609 0.067121 0.079368 0.086665 0.090502 0.092217 0.092816 0.092946 0.092953 0.092946 0.092816 0.092217 0.090502 0.086665 0.079368 0.067121 0.048609 0.023006 -0.009891 -0.049781 -0.096128 -0.148183 -0.204326 -0.259278 -0.292356 -0.273031 -0.196775 -0.104473 -0.032486 0.016898 0.050701 0.073560 0.088254 0.096969 0.101625 0.103795 0.104630 0.104866 0.104904 
0.079135 0.079130 0.079038 0.078602 0.077345 0.074486 0.068882 0.059000 0.042961 0.018530 -0.017141 -0.067630 -0.133200 -0.197092 -0.226218 -0.208430 -0.164944 -0.117310 -0.072915 -0.034093 -0.001814 0.023567 0.042238 0.054947 0.062859 0.067299 0.069486 0.070372 0.070615 0.070620 0.070599 0.070620 0.070615 0.070372 0.069486 0.067299 0.062859 0.054947 0.042238 0.023567 -0.001814 -0.034093 -0.072915 -0.117310 -0.164944 -0.208430 -0.226218 -0.197092 -0.133200 -0.067630 -0.017141 0.018530 0.042961 0.059000 0.068882 0.074486 0.077345 0.078602 0.079038 0.079130 0.079135 
0.059415 0.059427 0.059410 0.059196 0.058466 0.056690 0.053057 0.046415 0.035259 0.017777 -0.008100 -0.044472 -0.091520 -0.140455 -0.169091 -0.162173 -0.130297 -0.091577 -0.054810 -0.023121 0.002397 0.021623 0.035102 0.043835 0.049015 0.051779 0.053055 0.053510 0.053582 0.053534 0.053503 0.053534 0.053582 0.053510 0.053055 0.051779 0.049015 0.043835 0.035102 0.021623 0.002397 -0.023121 -0.054810 -0.091577 -0.130297 -0.162173 -0.169091 -0.140455 -0.091520 -0.044472 -0.008100 0.017777 0.035259 0.046415 0.053057 0.056690 0.058466 0.059196 0.059410 0.059427 0.059415 
0.044489 0.044507 0.044528 0.044438 0.044020 0.042911 0.040538 0.036058 0.028318 0.015879 -0.002856 -0.029302 -0.063407 -0.099761 -0.123937 -0.122917 -0.100630 -0.070349 -0.040786 -0.015530 0.004270 0.018662 0.028364 0.034406 0.037853 0.039613 0.040371 0.040597 0.040588 0.040522 0.040490 0.040522 0.040588 0.040597 0.040371 0.039613 0.037853 0.034406 0.028364 0.018662 0.004270 -0.015530 -0.040786 -0.070349 -0.100630 -0.122917 -0.123937 -0.099761 -0.063407 -0.029302 -0.002856 0.015879 0.028318 0.036058 0.040538 0.042911 0.044020 0.044438 0.044528 0.044507 0.044489 
0.033288 0.033309 0.033347 0.033326 0.033096 0.032405 0.030849 0.027817 0.022445 0.013623 0.000102 -0.019150 -0.043991 -0.070728 -0.089799 -0.091366 -0.076128 -0.053133 -0.029978 -0.010268 0.004866 0.015555 0.022538 0.026753 0.029079 0.030218 0.030672 0.030773 0.030727 0.030659 0.030629 0.030659 0.030727 0.030773 0.030672 0.030218 0.029079 0.026753 0.022538 0.015555 0.004866 -0.010268 -0.029978 -0.053133 -0.076128 -0.091366 -0.089799 -0.070728 -0.043991 -0.019150 0.000102 0.013623 0.022445 0.027817 0.030849 0.032405 0.033096 0.033326 0.033347 0.033309 0.033288 
0.024930 0.024951 0.024997 0.025014 0.024899 0.024476 0.023458 0.021405 0.017679 0.011436 0.001713 -0.012275 -0.030379 -0.049965 -0.064517 -0.066906 -0.056552 -0.039440 -0.021691 -0.006580 0.004844 0.012732 0.017758 0.020713 0.022296 0.023037 0.023304 0.023334 0.023273 0.023208 0.023182 0.023208 0.023273 0.023334 0.023304 0.023037 0.022296 0.020713 0.017758 0.012732 0.004844 -0.006580 -0.021691 -0.039440 -0.056552 -0.066906 -0.064517 -0.049965 -0.030379 -0.012275 0.001713 0.011436 0.017679 0.021405 0.023458 0.024476 0.024899 0.025014 0.024997 0.024951 0.024930 
0.018706 0.018726 0.018774 0.018814 0.018772 0.018525 0.017869 0.016487 0.013912 0.009510 0.002547 -0.007579 -0.020749 -0.035055 -0.045960 -0.048360 -0.041310 -0.028745 -0.015370 -0.003960 0.004568 0.010351 0.013958 0.016029 0.017103 0.017580 0.017725 0.017712 0.017645 0.017584 0.017561 0.017584 0.017645 0.017712 0.017725 0.017580 0.017103 0.016029 0.013958 0.010351 0.004568 -0.003960 -0.015370 -0.028745 -0.041310 -0.048360 -0.045960 -0.035055 -0.020749 -0.007579 0.002547 0.009510 0.013912 0.016487 0.017869 0.018525 0.018772 0.018814 0.018774 0.018726 0.018706 
0.014058 0.014077 0.014126 0.014180 0.014188 0.014061 0.013654 0.012741 0.010979 0.007898 0.002942 -0.004349 -0.013893 -0.024306 -0.032385 -0.034480 -0.029655 -0.020515 -0.010575 -0.002074 0.004221 0.008422 0.010991 0.012427 0.013143 0.013434 0.013497 0.013455 0.013384 0.013327 0.013306 0.013327 0.013384 0.013455 0.013497 0.013434 0.013143 0.012427 0.010991 0.008422 0.004221 -0.002074 -0.010575 -0.020515 -0.029655 -0.034480 -0.032385 -0.024306 -0.013893 -0.004349 0.002942 0.007898 0.010979 0.012741 0.013654 0.014061 0.014188 0.014180 0.014126 0.014077 0.014058 
0.010558 0.010577 0.010627 0.010690 0.010732 0.010689 0.010460 0.009881 0.008702 0.006578 0.003089 -0.002115 -0.008986 -0.016525 -0.022453 -0.024158 -0.020842 -0.014245 -0.006952 -0.000706 0.003877 0.006887 0.008685 0.009656 0.010110 0.010267 0.010270 0.010208 0.010134 0.010080 0.010060 0.010080 0.010134 0.010208 0.010270 0.010267 0.010110 0.009656 0.008685 0.006887 0.003877 -0.000706 -0.006952 -0.014245 -0.020842 -0.024158 -0.022453 -0.016525 -0.008986 -0.002115 0.003089 0.006578 0.008702 0.009881 0.010460 0.010689 0.010732 0.010690 0.010627 0.010577 0.010558 
