#      x          Cp  
     1.00000    0.36388
     0.99207    0.20309
     0.98082    0.15783
     0.96761    0.12129
     0.95315    0.09385
     0.93809    0.07164
     0.92277    0.05310
     0.90736    0.03712
     0.89190    0.02302
     0.87643    0.01034
     0.86094   -0.00124
     0.84545   -0.01196
     0.82995   -0.02197
     0.81444   -0.03142
     0.79894   -0.04041
     0.78343   -0.04901
     0.76792   -0.05729
     0.75240   -0.06531
     0.73689   -0.07312
     0.72137   -0.08074
     0.70586   -0.08822
     0.69034   -0.09558
     0.67483   -0.10285
     0.65932   -0.11005
     0.64381   -0.11719
     0.62831   -0.12430
     0.61280   -0.13138
     0.59730   -0.13845
     0.58181   -0.14551
     0.56632   -0.15259
     0.55084   -0.15967
     0.53537   -0.16678
     0.51990   -0.17390
     0.50445   -0.18105
     0.48900   -0.18823
     0.47356   -0.19544
     0.45814   -0.20267
     0.44273   -0.20993
     0.42733   -0.21720
     0.41194   -0.22450
     0.39658   -0.23180
     0.38123   -0.23911
     0.36590   -0.24640
     0.35060   -0.25368
     0.33532   -0.26093
     0.32006   -0.26813
     0.30484   -0.27526
     0.28965   -0.28231
     0.27449   -0.28925
     0.25938   -0.29605
     0.24431   -0.30268
     0.22930   -0.30909
     0.21434   -0.31526
     0.19946   -0.32110
     0.18465   -0.32657
     0.16995   -0.33157
     0.15535   -0.33600
     0.14091   -0.33970
     0.12664   -0.34250
     0.11260   -0.34413
     0.09888   -0.34423
     0.08560   -0.34230
     0.07295   -0.33766
     0.06121   -0.32948
     0.05064   -0.31684
     0.04147   -0.29888
     0.03375   -0.27491
     0.02736   -0.24423
     0.02208   -0.20595
     0.01771   -0.15869
     0.01406   -0.10065
     0.01100   -0.02935
     0.00841    0.05824
     0.00624    0.16542
     0.00441    0.29491
     0.00292    0.44679
     0.00174    0.61469
     0.00087    0.78105
     0.00030    0.91653
     0.00003    0.99077
     0.00003    0.99077
     0.00030    0.91653
     0.00087    0.78105
     0.00174    0.61469
     0.00292    0.44679
     0.00441    0.29491
     0.00624    0.16542
     0.00841    0.05824
     0.01100   -0.02935
     0.01406   -0.10065
     0.01771   -0.15869
     0.02208   -0.20595
     0.02736   -0.24423
     0.03375   -0.27491
     0.04147   -0.29888
     0.05064   -0.31684
     0.06121   -0.32948
     0.07295   -0.33766
     0.08560   -0.34230
     0.09888   -0.34423
     0.11260   -0.34413
     0.12664   -0.34250
     0.14091   -0.33970
     0.15535   -0.33600
     0.16995   -0.33157
     0.18465   -0.32657
     0.19946   -0.32110
     0.21434   -0.31526
     0.22930   -0.30909
     0.24431   -0.30268
     0.25938   -0.29605
     0.27449   -0.28925
     0.28965   -0.28231
     0.30484   -0.27526
     0.32006   -0.26813
     0.33532   -0.26093
     0.35060   -0.25368
     0.36590   -0.24640
     0.38123   -0.23911
     0.39658   -0.23180
     0.41194   -0.22450
     0.42733   -0.21720
     0.44273   -0.20993
     0.45814   -0.20267
     0.47356   -0.19544
     0.48900   -0.18823
     0.50445   -0.18105
     0.51990   -0.17390
     0.53537   -0.16678
     0.55084   -0.15967
     0.56632   -0.15259
     0.58181   -0.14551
     0.59730   -0.13845
     0.61280   -0.13138
     0.62831   -0.12430
     0.64381   -0.11719
     0.65932   -0.11005
     0.67483   -0.10285
     0.69034   -0.09558
     0.70586   -0.08822
     0.72137   -0.08074
     0.73689   -0.07312
     0.75240   -0.06531
     0.76792   -0.05729
     0.78343   -0.04901
     0.79894   -0.04041
     0.81444   -0.03142
     0.82995   -0.02197
     0.84545   -0.01196
     0.86094   -0.00124
     0.87643    0.01034
     0.89190    0.02302
     0.90736    0.03712
     0.92277    0.05310
     0.93809    0.07164
     0.95315    0.09385
     0.96761    0.12129
     0.98082    0.15783
     0.99207    0.20309
     1.00000    0.36388
