-0.230094 -0.229557 -0.227951 -0.225283 -0.221564 -0.216812 -0.211050 -0.204304 -0.196605 -0.187990 -0.178498 -0.168174 -0.157065 -0.145223 -0.132705 -0.119567 -0.105872 -0.091682 -0.077065 -0.062088 -0.046821 -0.031336 -0.015705 0.000000 0.015705 0.031336 0.046821 0.062088 0.077065 0.091682 0.105872 0.119567 0.132705 0.145223 0.157065 0.168174 0.178498 0.187990 0.196605 0.204304 0.211050 0.216812 0.221564 0.225283 0.227951 0.229557 0.230094 0.229557 0.227951 0.225283 0.221564 0.216812 0.211050 0.204304 0.196605 0.187990 0.178498 0.168174 0.157065 0.145223 0.132705 0.119567 0.105872 0.091682 0.077065 0.062088 0.046821 0.031336 0.015705 0.000000 -0.015705 -0.031336 -0.046821 -0.062088 -0.077065 -0.091682 -0.105872 -0.119567 -0.132705 -0.145223 -0.157065 -0.168174 -0.178498 -0.187990 -0.196605 -0.204304 -0.211050 -0.216812 -0.221564 -0.225283 -0.227951 -0.229557 
-0.182036 -0.181612 -0.180342 -0.178233 -0.175293 -0.171536 -0.166980 -0.161646 -0.155559 -0.148746 -0.141239 -0.133073 -0.124287 -0.114920 -0.105016 -0.094622 -0.083785 -0.072558 -0.060990 -0.049138 -0.037056 -0.024801 -0.012429 0.000000 0.012429 0.024801 0.037056 0.049138 0.060990 0.072558 0.083785 0.094622 0.105016 0.114920 0.124287 0.133073 0.141239 0.148746 0.155559 0.161646 0.166980 0.171536 0.175293 0.178233 0.180342 0.181612 0.182036 0.181612 0.180342 0.178233 0.175293 0.171536 0.166980 0.161646 0.155559 0.148746 0.141239 0.133073 0.124287 0.114920 0.105016 0.094622 0.083785 0.072558 0.060990 0.049138 0.037056 0.024801 0.012429 0.000000 -0.012429 -0.024801 -0.037056 -0.049138 -0.060990 -0.072558 -0.083785 -0.094622 -0.105016 -0.114920 -0.124287 -0.133073 -0.141239 -0.148746 -0.155559 -0.161646 -0.166980 -0.171536 -0.175293 -0.178233 -0.180342 -0.181612 
-0.144063 -0.143729 -0.142725 -0.141057 -0.138732 -0.135762 -0.132160 -0.127941 -0.123127 -0.117738 -0.111800 -0.105340 -0.098388 -0.090976 -0.083139 -0.074912 -0.066335 -0.057447 -0.048290 -0.038907 -0.029341 -0.019637 -0.009842 0.000000 0.009842 0.019637 0.029341 0.038907 0.048290 0.057447 0.066335 0.074912 0.083139 0.090976 0.098388 0.105340 0.111800 0.117738 0.123127 0.127941 0.132160 0.135762 0.138732 0.141057 0.142725 0.143729 0.144063 0.143729 0.142725 0.141057 0.138732 0.135762 0.132160 0.127941 0.123127 0.117738 0.111800 0.105340 0.098388 0.090976 0.083139 0.074912 0.066335 0.057447 0.048290 0.038907 0.029341 0.019637 0.009842 0.000000 -0.009842 -0.019637 -0.029341 -0.038907 -0.048290 -0.057447 -0.066335 -0.074912 -0.083139 -0.090976 -0.098388 -0.105340 -0.111800 -0.117738 -0.123127 -0.127941 -0.132160 -0.135762 -0.138732 -0.141057 -0.142725 -0.143729 
-0.113996 -0.113731 -0.112938 -0.111620 -0.109784 -0.107436 -0.104589 -0.101255 -0.097449 -0.093188 -0.088493 -0.083384 -0.077885 -0.072021 -0.065820 -0.059310 -0.052521 -0.045486 -0.038237 -0.030808 -0.023234 -0.015550 -0.007794 0.000000 0.007794 0.015550 0.023234 0.030808 0.038237 0.045486 0.052521 0.059310 0.065820 0.072021 0.077885 0.083384 0.088493 0.093188 0.097449 0.101255 0.104589 0.107436 0.109784 0.111620 0.112938 0.113731 0.113996 0.113731 0.112938 0.111620 0.109784 0.107436 0.104589 0.101255 0.097449 0.093188 0.088493 0.083384 0.077885 0.072021 0.065820 0.059310 0.052521 0.045486 0.038237 0.030808 0.023234 0.015550 0.007794 0.000000 -0.007794 -0.015550 -0.023234 -0.030808 -0.038237 -0.045486 -0.052521 -0.059310 -0.065820 -0.072021 -0.077885 -0.083384 -0.088493 -0.093188 -0.097449 -0.101255 -0.104589 -0.107436 -0.109784 -0.111620 -0.112938 -0.113731 
-0.090130 -0.089921 -0.089295 -0.088256 -0.086806 -0.084955 -0.082708 -0.080076 -0.077071 -0.073707 -0.069999 -0.065962 -0.061617 -0.056983 -0.052080 -0.046932 -0.041563 -0.035998 -0.030263 -0.024384 -0.018390 -0.012309 -0.006169 0.000000 0.006169 0.012309 0.018390 0.024384 0.030263 0.035998 0.041563 0.046932 0.052080 0.056983 0.061617 0.065962 0.069999 0.073707 0.077071 0.080076 0.082708 0.084955 0.086806 0.088256 0.089295 0.089921 0.090130 0.089921 0.089295 0.088256 0.086806 0.084955 0.082708 0.080076 0.077071 0.073707 0.069999 0.065962 0.061617 0.056983 0.052080 0.046932 0.041563 0.035998 0.030263 0.024384 0.018390 0.012309 0.006169 0.000000 -0.006169 -0.012309 -0.018390 -0.024384 -0.030263 -0.035998 -0.041563 -0.046932 -0.052080 -0.056983 -0.061617 -0.065962 -0.069999 -0.073707 -0.077071 -0.080076 -0.082708 -0.084955 -0.086806 -0.088256 -0.089295 -0.089921 
-0.071127 -0.070963 -0.070471 -0.069654 -0.068514 -0.067057 -0.065290 -0.063219 -0.060853 -0.058204 -0.055282 -0.052101 -0.048675 -0.045019 -0.041151 -0.037088 -0.032848 -0.028453 -0.023922 -0.019276 -0.014538 -0.009731 -0.004877 0.000000 0.004877 0.009731 0.014538 0.019276 0.023922 0.028453 0.032848 0.037088 0.041151 0.045019 0.048675 0.052101 0.055282 0.058204 0.060853 0.063219 0.065290 0.067057 0.068514 0.069654 0.070471 0.070963 0.071127 0.070963 0.070471 0.069654 0.068514 0.067057 0.065290 0.063219 0.060853 0.058204 0.055282 0.052101 0.048675 0.045019 0.041151 0.037088 0.032848 0.028453 0.023922 0.019276 0.014538 0.009731 0.004877 0.000000 -0.004877 -0.009731 -0.014538 -0.019276 -0.023922 -0.028453 -0.032848 -0.037088 -0.041151 -0.045019 -0.048675 -0.052101 -0.055282 -0.058204 -0.060853 -0.063219 -0.065290 -0.067057 -0.068514 -0.069654 -0.070471 -0.070963 
-0.055934 -0.055805 -0.055421 -0.054782 -0.053892 -0.052752 -0.051369 -0.049748 -0.047895 -0.045819 -0.043528 -0.041031 -0.038341 -0.035468 -0.032427 -0.029230 -0.025893 -0.022432 -0.018862 -0.015201 -0.011466 -0.007675 -0.003847 0.000000 0.003847 0.007675 0.011466 0.015201 0.018862 0.022432 0.025893 0.029230 0.032427 0.035468 0.038341 0.041031 0.043528 0.045819 0.047895 0.049748 0.051369 0.052752 0.053892 0.054782 0.055421 0.055805 0.055934 0.055805 0.055421 0.054782 0.053892 0.052752 0.051369 0.049748 0.047895 0.045819 0.043528 0.041031 0.038341 0.035468 0.032427 0.029230 0.025893 0.022432 0.018862 0.015201 0.011466 0.007675 0.003847 0.000000 -0.003847 -0.007675 -0.011466 -0.015201 -0.018862 -0.022432 -0.025893 -0.029230 -0.032427 -0.035468 -0.038341 -0.041031 -0.043528 -0.045819 -0.047895 -0.049748 -0.051369 -0.052752 -0.053892 -0.054782 -0.055421 -0.055805 
-0.043714 -0.043615 -0.043318 -0.042824 -0.042135 -0.041253 -0.040182 -0.038925 -0.037486 -0.035873 -0.034090 -0.032146 -0.030048 -0.027806 -0.025429 -0.022929 -0.020317 -0.017605 -0.014806 -0.011934 -0.009003 -0.006027 -0.003021 0.000000 0.003021 0.006027 0.009003 0.011934 0.014806 0.017605 0.020317 0.022929 0.025429 0.027806 0.030048 0.032146 0.034090 0.035873 0.037486 0.038925 0.040182 0.041253 0.042135 0.042824 0.043318 0.043615 0.043714 0.043615 0.043318 0.042824 0.042135 0.041253 0.040182 0.038925 0.037486 0.035873 0.034090 0.032146 0.030048 0.027806 0.025429 0.022929 0.020317 0.017605 0.014806 0.011934 0.009003 0.006027 0.003021 0.000000 -0.003021 -0.006027 -0.009003 -0.011934 -0.014806 -0.017605 -0.020317 -0.022929 -0.025429 -0.027806 -0.030048 -0.032146 -0.034090 -0.035873 -0.037486 -0.038925 -0.040182 -0.041253 -0.042135 -0.042824 -0.043318 -0.043615 
-0.033800 -0.033725 -0.033500 -0.033126 -0.032603 -0.031933 -0.031117 -0.030159 -0.029060 -0.027824 -0.026457 -0.024962 -0.023346 -0.021616 -0.019778 -0.017842 -0.015817 -0.013711 -0.011535 -0.009300 -0.007018 -0.004699 -0.002355 0.000000 0.002355 0.004699 0.007018 0.009300 0.011535 0.013711 0.015817 0.017842 0.019778 0.021616 0.023346 0.024962 0.026457 0.027824 0.029060 0.030159 0.031117 0.031933 0.032603 0.033126 0.033500 0.033725 0.033800 0.033725 0.033500 0.033126 0.032603 0.031933 0.031117 0.030159 0.029060 0.027824 0.026457 0.024962 0.023346 0.021616 0.019778 0.017842 0.015817 0.013711 0.011535 0.009300 0.007018 0.004699 0.002355 0.000000 -0.002355 -0.004699 -0.007018 -0.009300 -0.011535 -0.013711 -0.015817 -0.017842 -0.019778 -0.021616 -0.023346 -0.024962 -0.026457 -0.027824 -0.029060 -0.030159 -0.031117 -0.031933 -0.032603 -0.033126 -0.033500 -0.033725 
-0.025654 -0.025599 -0.025435 -0.025162 -0.024780 -0.024289 -0.023688 -0.022979 -0.022163 -0.021242 -0.020218 -0.019095 -0.017876 -0.016566 -0.015172 -0.013697 -0.012151 -0.010540 -0.008872 -0.007157 -0.005402 -0.003618 -0.001814 0.000000 0.001814 0.003618 0.005402 0.007157 0.008872 0.010540 0.012151 0.013697 0.015172 0.016566 0.017876 0.019095 0.020218 0.021242 0.022163 0.022979 0.023688 0.024289 0.024780 0.025162 0.025435 0.025599 0.025654 0.025599 0.025435 0.025162 0.024780 0.024289 0.023688 0.022979 0.022163 0.021242 0.020218 0.019095 0.017876 0.016566 0.015172 0.013697 0.012151 0.010540 0.008872 0.007157 0.005402 0.003618 0.001814 0.000000 -0.001814 -0.003618 -0.005402 -0.007157 -0.008872 -0.010540 -0.012151 -0.013697 -0.015172 -0.016566 -0.017876 -0.019095 -0.020218 -0.021242 -0.022163 -0.022979 -0.023688 -0.024289 -0.024780 -0.025162 -0.025435 -0.025599 
