0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000094 -0.000363 -0.000778 -0.001307 -0.001932 -0.002654 -0.003493 -0.004477 -0.005621 -0.006926 -0.008371 -0.009928 -0.011568 -0.013273 -0.015030 -0.016828 -0.018648 -0.020456 -0.022208 -0.023856 -0.025354 -0.026666 -0.027761 -0.028611 -0.029189 -0.029472 -0.029450 -0.029134 -0.028554 -0.027757 -0.026790 -0.025685 -0.024453 -0.023087 -0.021578 -0.019932 -0.018177 -0.016360 -0.014524 -0.012692 -0.010846 -0.008941 -0.006917 -0.004739 -0.002414 0.000000 0.002414 0.004739 0.006917 0.008941 0.010846 0.012692 0.014524 0.016360 0.018177 0.019932 0.021578 0.023087 0.024453 0.025685 0.026790 0.027757 0.028554 0.029134 0.029450 0.029472 0.029189 0.028611 0.027761 0.026666 0.025354 0.023856 0.022208 0.020456 0.018648 0.016828 0.015030 0.013273 0.011568 0.009928 0.008371 0.006926 0.005621 0.004477 0.003493 0.002654 0.001932 0.001307 0.000778 0.000363 0.000094 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 
-0.224138 -0.223466 -0.222793 -0.222114 -0.221422 -0.220713 -0.219981 -0.219220 -0.218427 -0.217593 -0.216714 -0.215784 -0.214795 -0.213741 -0.212615 -0.211409 -0.210114 -0.208721 -0.207219 -0.205598 -0.203844 -0.201942 -0.199872 -0.197613 -0.195135 -0.192397 -0.189338 -0.185860 -0.181774 -0.176660 -0.166264 -0.158621 -0.152623 -0.148166 -0.144849 -0.142343 -0.140411 -0.138885 -0.137649 -0.136618 -0.135731 -0.134937 -0.134193 -0.133463 -0.132713 -0.131914 -0.131038 -0.130057 -0.128940 -0.127658 -0.126178 -0.124471 -0.122507 -0.120264 -0.117721 -0.114861 -0.111676 -0.108164 -0.104331 -0.100192 -0.095768 -0.091079 -0.086146 -0.080984 -0.075606 -0.070026 -0.064262 -0.058336 -0.052274 -0.046096 -0.039815 -0.033434 -0.026947 -0.020348 -0.013641 -0.006845 -0.000000 0.006845 0.013641 0.020348 0.026947 0.033434 0.039815 0.046096 0.052274 0.058336 0.064262 0.070026 0.075606 0.080984 0.086146 0.091079 0.095768 0.100192 0.104331 0.108164 0.111676 0.114861 0.117721 0.120264 0.122507 0.124471 0.126178 0.127658 0.128940 0.130057 0.131038 0.131914 0.132713 0.133463 0.134193 0.134937 0.135731 0.136618 0.137649 0.138885 0.140411 0.142343 0.144849 0.148166 0.152623 0.158621 0.166264 0.176660 0.181774 0.185860 0.189338 0.192397 0.195135 0.197613 0.199872 0.201942 0.203844 0.205598 0.207219 0.208721 0.210114 0.211409 0.212615 0.213741 0.214795 0.215784 0.216714 0.217593 0.218427 0.219220 0.219981 0.220713 0.221422 0.222114 0.222793 0.223466 0.224138 
-0.448276 -0.446940 -0.445602 -0.444250 -0.442874 -0.441464 -0.440008 -0.438496 -0.436916 -0.435258 -0.433510 -0.431659 -0.429693 -0.427597 -0.425357 -0.422959 -0.420385 -0.417616 -0.414634 -0.411416 -0.407937 -0.404168 -0.400075 -0.395616 -0.390739 -0.385378 -0.379437 -0.372776 -0.365169 -0.356196 -0.343895 -0.331251 -0.319855 -0.309964 -0.301528 -0.294331 -0.288134 -0.282713 -0.277882 -0.273485 -0.269398 -0.265516 -0.261755 -0.258043 -0.254318 -0.250528 -0.246628 -0.242575 -0.238331 -0.233863 -0.229138 -0.224128 -0.218806 -0.213153 -0.207150 -0.200785 -0.194052 -0.186948 -0.179476 -0.171647 -0.163471 -0.154964 -0.146142 -0.137022 -0.127622 -0.117960 -0.108056 -0.097933 -0.087611 -0.077110 -0.066449 -0.055641 -0.044701 -0.033644 -0.022489 -0.011263 -0.000000 0.011263 0.022489 0.033644 0.044701 0.055641 0.066449 0.077110 0.087611 0.097933 0.108056 0.117960 0.127622 0.137022 0.146142 0.154964 0.163471 0.171647 0.179476 0.186948 0.194052 0.200785 0.207150 0.213153 0.218806 0.224128 0.229138 0.233863 0.238331 0.242575 0.246628 0.250528 0.254318 0.258043 0.261755 0.265516 0.269398 0.273485 0.277882 0.282713 0.288134 0.294331 0.301528 0.309964 0.319855 0.331251 0.343895 0.356196 0.365169 0.372776 0.379437 0.385378 0.390739 0.395616 0.400075 0.404168 0.407937 0.411416 0.414634 0.417616 0.420385 0.422959 0.425357 0.427597 0.429693 0.431659 0.433510 0.435258 0.436916 0.438496 0.440008 0.441464 0.442874 0.444250 0.445602 0.446940 0.448276 
-0.672414 -0.670430 -0.668442 -0.666433 -0.664388 -0.662292 -0.660127 -0.657880 -0.655532 -0.653067 -0.650468 -0.647716 -0.644793 -0.641678 -0.638351 -0.634788 -0.630965 -0.626857 -0.622434 -0.617666 -0.612517 -0.606948 -0.600914 -0.594361 -0.587225 -0.579428 -0.570871 -0.561421 -0.550901 -0.539053 -0.525264 -0.510354 -0.495518 -0.481486 -0.468552 -0.456757 -0.446017 -0.436188 -0.427115 -0.418642 -0.410631 -0.402956 -0.395506 -0.388185 -0.380909 -0.373606 -0.366211 -0.358667 -0.350926 -0.342944 -0.334683 -0.326109 -0.317194 -0.307914 -0.298251 -0.288192 -0.277728 -0.266855 -0.255575 -0.243892 -0.231815 -0.219358 -0.206533 -0.193358 -0.179852 -0.166034 -0.151926 -0.137550 -0.122929 -0.108087 -0.093046 -0.077828 -0.062459 -0.046962 -0.031365 -0.015700 -0.000000 0.015700 0.031365 0.046962 0.062459 0.077828 0.093046 0.108087 0.122929 0.137550 0.151926 0.166034 0.179852 0.193358 0.206533 0.219358 0.231815 0.243892 0.255575 0.266855 0.277728 0.288192 0.298251 0.307914 0.317194 0.326109 0.334683 0.342944 0.350926 0.358667 0.366211 0.373606 0.380909 0.388185 0.395506 0.402956 0.410631 0.418642 0.427115 0.436188 0.446017 0.456757 0.468552 0.481486 0.495518 0.510354 0.525264 0.539053 0.550901 0.561421 0.570871 0.579428 0.587225 0.594361 0.600914 0.606948 0.612517 0.617666 0.622434 0.626857 0.630965 0.634788 0.638351 0.641678 0.644793 0.647716 0.650468 0.653067 0.655532 0.657880 0.660127 0.662292 0.664388 0.666433 0.668442 0.670430 0.672414 
-0.896552 -0.893943 -0.891327 -0.888684 -0.885993 -0.883233 -0.880384 -0.877425 -0.874334 -0.871088 -0.867666 -0.864043 -0.860194 -0.856094 -0.851715 -0.847028 -0.842002 -0.836603 -0.830797 -0.824544 -0.817802 -0.810524 -0.802658 -0.794145 -0.784919 -0.774903 -0.764009 -0.752135 -0.739167 -0.724983 -0.709440 -0.692817 -0.675719 -0.658746 -0.642308 -0.626623 -0.611758 -0.597691 -0.584346 -0.571622 -0.559406 -0.547586 -0.536054 -0.524711 -0.513466 -0.502235 -0.490944 -0.479528 -0.467928 -0.456093 -0.443976 -0.431540 -0.418751 -0.405583 -0.392012 -0.378023 -0.363605 -0.348750 -0.333458 -0.317730 -0.301574 -0.285000 -0.268020 -0.250651 -0.232912 -0.214822 -0.196405 -0.177683 -0.158683 -0.139429 -0.119950 -0.100273 -0.080428 -0.060445 -0.040356 -0.020196 -0.000000 0.020196 0.040356 0.060445 0.080428 0.100273 0.119950 0.139429 0.158683 0.177683 0.196405 0.214822 0.232912 0.250651 0.268020 0.285000 0.301574 0.317730 0.333458 0.348750 0.363605 0.378023 0.392012 0.405583 0.418751 0.431540 0.443976 0.456093 0.467928 0.479528 0.490944 0.502235 0.513466 0.524711 0.536054 0.547586 0.559406 0.571622 0.584346 0.597691 0.611758 0.626623 0.642308 0.658746 0.675719 0.692817 0.709440 0.724983 0.739167 0.752135 0.764009 0.774903 0.784919 0.794145 0.802658 0.810524 0.817802 0.824544 0.830797 0.836603 0.842002 0.847028 0.851715 0.856094 0.860194 0.864043 0.867666 0.871088 0.874334 0.877425 0.880384 0.883233 0.885993 0.888684 0.891327 0.893943 0.896552 
-1.120690 -1.117485 -1.114272 -1.111024 -1.107716 -1.104324 -1.100821 -1.097182 -1.093380 -1.089388 -1.085178 -1.080722 -1.075989 -1.070947 -1.065564 -1.059804 -1.053631 -1.047006 -1.039887 -1.032229 -1.023985 -1.015105 -1.005532 -0.995207 -0.984067 -0.972042 -0.959063 -0.945058 -0.929963 -0.913734 -0.896369 -0.878022 -0.859012 -0.839726 -0.820512 -0.801621 -0.783206 -0.765332 -0.748001 -0.731177 -0.714793 -0.698773 -0.683032 -0.667482 -0.652042 -0.636631 -0.621176 -0.605608 -0.589866 -0.573896 -0.557647 -0.541078 -0.524151 -0.506837 -0.489110 -0.470951 -0.452345 -0.433285 -0.413766 -0.393787 -0.373355 -0.352477 -0.331166 -0.309436 -0.287307 -0.264798 -0.241933 -0.218737 -0.195237 -0.171461 -0.147439 -0.123203 -0.098785 -0.074220 -0.049543 -0.024790 -0.000000 0.024790 0.049543 0.074220 0.098785 0.123203 0.147439 0.171461 0.195237 0.218737 0.241933 0.264798 0.287307 0.309436 0.331166 0.352477 0.373355 0.393787 0.413766 0.433285 0.452345 0.470951 0.489110 0.506837 0.524151 0.541078 0.557647 0.573896 0.589866 0.605608 0.621176 0.636631 0.652042 0.667482 0.683032 0.698773 0.714793 0.731177 0.748001 0.765332 0.783206 0.801621 0.820512 0.839726 0.859012 0.878022 0.896369 0.913734 0.929963 0.945058 0.959063 0.972042 0.984067 0.995207 1.005532 1.015105 1.023985 1.032229 1.039887 1.047006 1.053631 1.059804 1.065564 1.070947 1.075989 1.080722 1.085178 1.089388 1.093380 1.097182 1.100821 1.104324 1.107716 1.111024 1.114272 1.117485 1.120690 
-1.344828 -1.341065 -1.337290 -1.333473 -1.329586 -1.325597 -1.321478 -1.317197 -1.312725 -1.308028 -1.303075 -1.297832 -1.292264 -1.286333 -1.280002 -1.273232 -1.265979 -1.258200 -1.249850 -1.240878 -1.231236 -1.220868 -1.209719 -1.197731 -1.184847 -1.171006 -1.156155 -1.140246 -1.123247 -1.105152 -1.085997 -1.065896 -1.045042 -1.023686 -1.002082 -0.980450 -0.958956 -0.937705 -0.916751 -0.896108 -0.875756 -0.855656 -0.835752 -0.815983 -0.796284 -0.776586 -0.756825 -0.736939 -0.716869 -0.696562 -0.675970 -0.655049 -0.633764 -0.612080 -0.589973 -0.567421 -0.544409 -0.520927 -0.496967 -0.472530 -0.447619 -0.422241 -0.396408 -0.370135 -0.343438 -0.316340 -0.288864 -0.261037 -0.232885 -0.204441 -0.175735 -0.146802 -0.117676 -0.088395 -0.058996 -0.029518 -0.000000 0.029518 0.058996 0.088395 0.117676 0.146802 0.175735 0.204441 0.232885 0.261037 0.288864 0.316340 0.343438 0.370135 0.396408 0.422241 0.447619 0.472530 0.496967 0.520927 0.544409 0.567421 0.589973 0.612080 0.633764 0.655049 0.675970 0.696562 0.716869 0.736939 0.756825 0.776586 0.796284 0.815983 0.835752 0.855656 0.875756 0.896108 0.916751 0.937705 0.958956 0.980450 1.002082 1.023686 1.045042 1.065896 1.085997 1.105152 1.123247 1.140246 1.156155 1.171006 1.184847 1.197731 1.209719 1.220868 1.231236 1.240878 1.249850 1.258200 1.265979 1.273232 1.280002 1.286333 1.292264 1.297832 1.303075 1.308028 1.312725 1.317197 1.321478 1.325597 1.329586 1.333473 1.337290 1.341065 1.344828 
-1.568966 -1.564687 -1.560393 -1.556051 -1.551626 -1.547084 -1.542392 -1.537516 -1.532420 -1.527068 -1.521423 -1.515447 -1.509100 -1.502341 -1.495128 -1.487416 -1.479160 -1.470310 -1.460818 -1.450631 -1.439697 -1.427961 -1.415368 -1.401863 -1.387393 -1.371907 -1.355363 -1.337729 -1.318991 -1.299158 -1.278274 -1.256428 -1.233754 -1.210423 -1.186618 -1.162514 -1.138259 -1.113966 -1.089711 -1.065538 -1.041461 -1.017472 -0.993545 -0.969645 -0.945726 -0.921738 -0.897631 -0.873352 -0.848853 -0.824086 -0.799007 -0.773576 -0.747760 -0.721526 -0.694851 -0.667713 -0.640096 -0.611991 -0.583391 -0.554295 -0.524705 -0.494630 -0.464079 -0.433069 -0.401617 -0.369744 -0.337475 -0.304838 -0.271861 -0.238576 -0.205017 -0.171220 -0.137221 -0.103060 -0.068776 -0.034409 -0.000000 0.034409 0.068776 0.103060 0.137221 0.171220 0.205017 0.238576 0.271861 0.304838 0.337475 0.369744 0.401617 0.433069 0.464079 0.494630 0.524705 0.554295 0.583391 0.611991 0.640096 0.667713 0.694851 0.721526 0.747760 0.773576 0.799007 0.824086 0.848853 0.873352 0.897631 0.921738 0.945726 0.969645 0.993545 1.017472 1.041461 1.065538 1.089711 1.113966 1.138259 1.162514 1.186618 1.210423 1.233754 1.256428 1.278274 1.299158 1.318991 1.337729 1.355363 1.371907 1.387393 1.401863 1.415368 1.427961 1.439697 1.450631 1.460818 1.470310 1.479160 1.487416 1.495128 1.502341 1.509100 1.515447 1.521423 1.527068 1.532420 1.537516 1.542392 1.547084 1.551626 1.556051 1.560393 1.564687 1.568966 
-1.793103 -1.788358 -1.783594 -1.778773 -1.773859 -1.768813 -1.763600 -1.758179 -1.752512 -1.746560 -1.740281 -1.733632 -1.726571 -1.719053 -1.711030 -1.702454 -1.693277 -1.683445 -1.672907 -1.661609 -1.649496 -1.636513 -1.622606 -1.607722 -1.591812 -1.574833 -1.556750 -1.537539 -1.517194 -1.495729 -1.473185 -1.449632 -1.425169 -1.399919 -1.374017 -1.347598 -1.320787 -1.293687 -1.266380 -1.238923 -1.211349 -1.183673 -1.155892 -1.127993 -1.099949 -1.071730 -1.043300 -1.014622 -0.985655 -0.956364 -0.926711 -0.896663 -0.866191 -0.835268 -0.803872 -0.771985 -0.739592 -0.706686 -0.673261 -0.639317 -0.604857 -0.569890 -0.534427 -0.498484 -0.462080 -0.425238 -0.387982 -0.350342 -0.312347 -0.274031 -0.235429 -0.196578 -0.157518 -0.118289 -0.078931 -0.039487 -0.000000 0.039487 0.078931 0.118289 0.157518 0.196578 0.235429 0.274031 0.312347 0.350342 0.387982 0.425238 0.462080 0.498484 0.534427 0.569890 0.604857 0.639317 0.673261 0.706686 0.739592 0.771985 0.803872 0.835268 0.866191 0.896663 0.926711 0.956364 0.985655 1.014622 1.043300 1.071730 1.099949 1.127993 1.155892 1.183673 1.211349 1.238923 1.266380 1.293687 1.320787 1.347598 1.374017 1.399919 1.425169 1.449632 1.473185 1.495729 1.517194 1.537539 1.556750 1.574833 1.591812 1.607722 1.622606 1.636513 1.649496 1.661609 1.672907 1.683445 1.693277 1.702454 1.711030 1.719053 1.726571 1.733632 1.740281 1.746560 1.752512 1.758179 1.763600 1.768813 1.773859 1.778773 1.783594 1.788358 1.793103 
-2.017241 -2.012083 -2.006901 -2.001655 -1.996305 -1.990811 -1.985130 -1.979222 -1.973044 -1.966553 -1.959703 -1.952450 -1.944745 -1.936541 -1.927787 -1.918432 -1.908422 -1.897703 -1.886221 -1.873918 -1.860741 -1.846632 -1.831538 -1.815409 -1.798197 -1.779864 -1.760377 -1.739718 -1.717883 -1.694883 -1.670753 -1.645547 -1.619340 -1.592223 -1.564298 -1.535671 -1.506443 -1.476704 -1.446531 -1.415983 -1.385105 -1.353924 -1.322453 -1.290696 -1.258644 -1.226281 -1.193588 -1.160540 -1.127111 -1.093274 -1.059002 -1.024271 -0.989056 -0.953338 -0.917101 -0.880329 -0.843013 -0.805147 -0.766730 -0.727762 -0.688250 -0.648204 -0.607636 -0.566566 -0.525012 -0.482999 -0.440553 -0.397706 -0.354488 -0.310935 -0.267084 -0.222974 -0.178646 -0.134140 -0.089501 -0.044773 -0.000000 0.044773 0.089501 0.134140 0.178646 0.222974 0.267084 0.310935 0.354488 0.397706 0.440553 0.482999 0.525012 0.566566 0.607636 0.648204 0.688250 0.727762 0.766730 0.805147 0.843013 0.880329 0.917101 0.953338 0.989056 1.024271 1.059002 1.093274 1.127111 1.160540 1.193588 1.226281 1.258644 1.290696 1.322453 1.353924 1.385105 1.415983 1.446531 1.476704 1.506443 1.535671 1.564298 1.592223 1.619340 1.645547 1.670753 1.694883 1.717883 1.739718 1.760377 1.779864 1.798197 1.815409 1.831538 1.846632 1.860741 1.873918 1.886221 1.897703 1.908422 1.918432 1.927787 1.936541 1.944745 1.952450 1.959703 1.966553 1.973044 1.979222 1.985130 1.990811 1.996305 2.001655 2.006901 2.012083 2.017241 
