6.029791 5.907437 5.545724 4.960460 4.177223 3.230245 2.160914 1.015964 -0.154565 -1.299515 -2.368847 -3.315825 -4.099061 -4.684325 -5.046039 -5.168393 -5.046039 -4.684325 -4.099061 -3.315825 -2.368847 -1.299515 -0.154565 1.015964 2.160914 3.230245 4.177223 4.960460 5.545724 5.907437 6.029791 
4.431086 4.343691 4.085316 3.667231 3.107680 2.431094 1.667037 0.848909 0.012489 -0.805638 -1.569695 -2.246281 -2.805833 -3.223918 -3.482292 -3.569687 -3.482292 -3.223918 -2.805833 -2.246281 -1.569695 -0.805638 0.012489 0.848909 1.667037 2.431094 3.107680 3.667231 4.085316 4.343691 4.431086 
3.305172 3.242401 3.056814 2.756480 2.354471 1.868315 1.319242 0.731268 0.130132 -0.457843 -1.006916 -1.493072 -1.895081 -2.195415 -2.381002 -2.443773 -2.381002 -2.195415 -1.895081 -1.493072 -1.006916 -0.457843 0.130132 0.731267 1.319242 1.868315 2.354471 2.756480 3.056814 3.242401 3.305172 
2.510095 2.464720 2.330554 2.113395 1.822652 1.470969 1.073693 0.648213 0.213186 -0.212294 -0.609571 -0.961253 -1.251996 -1.469155 -1.603322 -1.648697 -1.603322 -1.469155 -1.251996 -0.961253 -0.609571 -0.212294 0.213186 0.648213 1.073693 1.470969 1.822652 2.113395 2.330554 2.464720 2.510095 
1.947955 1.914892 1.817111 1.658793 1.446741 1.190135 0.900157 0.589517 0.271882 -0.038759 -0.328736 -0.585342 -0.797393 -0.955712 -1.053493 -1.086556 -1.053493 -0.955712 -0.797393 -0.585342 -0.328736 -0.038759 0.271882 0.589517 0.900157 1.190135 1.446741 1.658792 1.817111 1.914892 1.947955 
1.551266 1.526907 1.454843 1.338092 1.181599 0.992085 0.777791 0.548131 0.313267 0.083608 -0.130686 -0.320200 -0.476693 -0.593444 -0.665508 -0.689868 -0.665508 -0.593444 -0.476693 -0.320200 -0.130686 0.083608 0.313267 0.548131 0.777791 0.992085 1.181599 1.338092 1.454843 1.526907 1.551266 
1.273592 1.255344 1.201327 1.113723 0.996152 0.853596 0.692239 0.519200 0.342198 0.169160 0.007803 -0.134753 -0.252324 -0.339929 -0.393945 -0.412193 -0.393945 -0.339929 -0.252324 -0.134753 0.007803 0.169160 0.342198 0.519200 0.692239 0.853596 0.996152 1.113723 1.201327 1.255344 1.273592 
1.083200 1.069162 1.027566 0.959991 0.869128 0.758761 0.633664 0.499392 0.362006 0.227735 0.102638 -0.007729 -0.098592 -0.166167 -0.207763 -0.221802 -0.207763 -0.166167 -0.098592 -0.007729 0.102638 0.227735 0.362006 0.499392 0.633664 0.758761 0.869128 0.959991 1.027566 1.069162 1.083200 
0.958858 0.947576 0.914107 0.859617 0.786183 0.696823 0.595400 0.486452 0.374947 0.265999 0.164576 0.075216 0.001782 -0.052708 -0.086177 -0.097460 -0.086177 -0.052708 0.001782 0.075216 0.164576 0.265999 0.374947 0.486452 0.595400 0.696823 0.786183 0.859617 0.914107 0.947576 0.958858 
0.887187 0.877441 0.848552 0.801466 0.737976 0.660713 0.573039 0.478880 0.382519 0.288360 0.200686 0.123423 0.059933 0.012847 -0.016043 -0.025789 -0.016043 0.012847 0.059933 0.123423 0.200686 0.288360 0.382519 0.478880 0.573039 0.660713 0.737976 0.801466 0.848552 0.877441 0.887187 
0.861399 0.851987 0.824163 0.779142 0.718893 0.646049 0.563792 0.475720 0.385679 0.297606 0.215350 0.142506 0.082257 0.037236 0.009412 0.000000 0.009412 0.037236 0.082257 0.142506 0.215350 0.297606 0.385679 0.475720 0.563792 0.646049 0.718893 0.779142 0.824163 0.851987 0.861399 
