0.857143 0.631970 0.603475 0.577620 0.453934 0.342007 0.330873 0.344509 0.369522 0.401683 0.451922 0.507096 0.548334 0.588628 0.622147 0.857143 0.622147 0.588628 0.548334 0.507096 0.451922 0.401683 0.369522 0.344509 0.330873 0.342007 0.453934 0.577620 0.603475 0.631970 0.857143 
0.656027 0.643072 0.614215 0.584246 0.497774 0.394591 0.368439 0.380165 0.402802 0.436709 0.483743 0.528901 0.566777 0.604034 0.636065 0.649856 0.636065 0.604034 0.566777 0.528901 0.483743 0.436709 0.402802 0.380165 0.368439 0.394591 0.497774 0.584246 0.614215 0.643072 0.656027 
0.608231 0.606773 0.598451 0.580479 0.544150 0.465722 0.409783 0.409632 0.432698 0.470206 0.511835 0.546181 0.573417 0.592381 0.601035 0.602504 0.601035 0.592381 0.573417 0.546181 0.511835 0.470206 0.432698 0.409632 0.409783 0.465722 0.544150 0.580479 0.598451 0.606773 0.608231 
0.580656 0.580357 0.578059 0.570352 0.552266 0.514149 0.463663 0.442207 0.461991 0.497715 0.529049 0.552326 0.567231 0.574455 0.576572 0.576825 0.576572 0.574455 0.567231 0.552326 0.529049 0.497715 0.461991 0.442207 0.463663 0.514149 0.552266 0.570352 0.578059 0.580357 0.580656 
0.563629 0.563568 0.562872 0.559786 0.551056 0.531600 0.500385 0.478799 0.488832 0.515293 0.537090 0.551134 0.558327 0.560948 0.561490 0.561518 0.561490 0.560948 0.558327 0.551135 0.537090 0.515293 0.488832 0.478799 0.500385 0.531600 0.551056 0.559786 0.562872 0.563568 0.563629 
0.553423 0.553426 0.553218 0.551970 0.547837 0.537793 0.520152 0.505316 0.509510 0.526149 0.540006 0.547912 0.551299 0.552292 0.552420 0.552400 0.552420 0.552292 0.551299 0.547912 0.540006 0.526149 0.509510 0.505316 0.520152 0.537793 0.547837 0.551970 0.553218 0.553426 0.553423 
0.547537 0.547556 0.547512 0.547006 0.545060 0.539911 0.530332 0.521489 0.523102 0.532658 0.540820 0.545098 0.546707 0.547096 0.547106 0.547080 0.547106 0.547096 0.546707 0.545098 0.540820 0.532658 0.523102 0.521489 0.530332 0.539911 0.545060 0.547006 0.547512 0.547556 0.547537 
0.544220 0.544241 0.544256 0.544071 0.543178 0.540593 0.535546 0.530633 0.531231 0.536428 0.540955 0.543187 0.543937 0.544074 0.544045 0.544022 0.544045 0.544074 0.543937 0.543187 0.540955 0.536428 0.531231 0.530633 0.535546 0.540593 0.543178 0.544071 0.544256 0.544241 0.544220 
0.542334 0.542354 0.542393 0.542359 0.541997 0.540775 0.538230 0.535644 0.535860 0.538553 0.540905 0.541988 0.542294 0.542311 0.542268 0.542247 0.542268 0.542311 0.542294 0.541988 0.540905 0.538553 0.535860 0.535644 0.538230 0.540775 0.541997 0.542359 0.542393 0.542354 0.542334 
0.541207 0.541224 0.541266 0.541299 0.541213 0.540749 0.539629 0.538404 0.538475 0.539730 0.540780 0.541196 0.541264 0.541227 0.541185 0.541168 0.541185 0.541227 0.541264 0.541196 0.540780 0.539730 0.538475 0.538404 0.539629 0.540749 0.541213 0.541299 0.541266 0.541224 0.541207 
0.540560 0.540571 0.540599 0.540632 0.540638 0.540555 0.540322 0.540046 0.540051 0.540324 0.540545 0.540622 0.540614 0.540582 0.540554 0.540544 0.540554 0.540582 0.540614 0.540622 0.540545 0.540324 0.540051 0.540046 0.540322 0.540555 0.540638 0.540632 0.540599 0.540571 0.540560 
