1.000000	0.000000
0.998834	-0.000141
0.995343	-0.000562
0.989542	-0.001258
0.981459	-0.002219
0.971130	-0.003433
0.958606	-0.004883
0.943943	-0.006552
0.927210	-0.008420
0.908485	-0.010464
0.887856	-0.012663
0.865418	-0.014993
0.841277	-0.017429
0.815544	-0.019947
0.788340	-0.022522
0.759792	-0.025131
0.730033	-0.027748
0.699201	-0.030346
0.667440	-0.032901
0.634898	-0.035386
0.601728	-0.037772
0.568083	-0.040031
0.534121	-0.042134
0.500000	-0.044051
0.465879	-0.045752
0.431917	-0.047206
0.398272	-0.048385
0.365102	-0.049261
0.332560	-0.049809
0.300799	-0.050006
0.269967	-0.049833
0.240208	-0.049278
0.211660	-0.048330
0.184456	-0.046987
0.158723	-0.045250
0.134582	-0.043126
0.112144	-0.040629
0.091515	-0.037776
0.072790	-0.034587
0.056057	-0.031088
0.041394	-0.027304
0.028870	-0.023261
0.018541	-0.018986
0.010458	-0.014503
0.004657	-0.009833
0.001166	-0.004995
0.000000	0.000000
0.001166	0.004995
0.004657	0.009833
0.010458	0.014503
0.018541	0.018986
0.028870	0.023261
0.041394	0.027304
0.056057	0.031088
0.072790	0.034587
0.091515	0.037776
0.112144	0.040629
0.134582	0.043126
0.158723	0.045250
0.184456	0.046987
0.211660	0.048330
0.240208	0.049278
0.269967	0.049833
0.300799	0.050006
0.332560	0.049809
0.365102	0.049261
0.398272	0.048385
0.431917	0.047206
0.465879	0.045752
0.500000	0.044051
0.534121	0.042134
0.568083	0.040031
0.601728	0.037772
0.634898	0.035386
0.667440	0.032901
0.699201	0.030346
0.730033	0.027748
0.759792	0.025131
0.788340	0.022522
0.815544	0.019947
0.841277	0.017429
0.865418	0.014993
0.887856	0.012663
0.908485	0.010464
0.927210	0.008420
0.943943	0.006552
0.958606	0.004883
0.971130	0.003433
0.981459	0.002219
0.989542	0.001258
0.995343	0.000562
0.998834	0.000141
1.000000	0.000000
